"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"340","vs_HLoviNivLyd1","Snow sheep","Herbivore"
"341","vs_HLpanLeo1","Lion","Vertivore"
"342","vs_HLpedCap1","South African springhare","Herbivore"
"343","vs_HLpepEle1","Melon-headed whale","Vertivore"
"344","vs_HLperCal2","Peromyscus californicus insignis","Omnivore"
"345","vs_HLperCri1","Canyon mouse","Omnivore"
"346","vs_HLperEre1","Cactus mouse","Omnivore"
"347","vs_HLperLeu1","White-footed mouse","Omnivore"
"348","vs_HLperNas1","Northern rock mouse","Omnivore"
"349","vs_HLperPol1","Oldfield mouse","Omnivore"
"350","vs_HLphaGym1","Ground cuscus","Herbivore"
"351","vs_HLphaCin1","Koala","Herbivore"
"352","vs_HLphiMax1","Maxwell's duiker","Herbivore"
"353","vs_HLphoVit1","Harbor seal","Vertivore"
"354","vs_HLphoSin1","Vaquita","Vertivore"
"355","vs_HLphyDis3","Pale spear-nosed bat","Omnivore"
"356","vs_HLphyCat2","Sperm whale","Insectivore"
"357","vs_HLpipKuh2","Kuhl's pipistrelle","Insectivore"
"358","vs_HLplaMin1","Indus river dolphin","Omnivore"
"359","vs_HLponBla1","La Plata dolphin","Vertivore"
"360","vs_HLpotFla1","Kinkajou","Omnivore"
"361","vs_HLpriBen1","Leopard cat","Vertivore"
"362","vs_HLproPrz1","Przewalski's gazelle","Herbivore"
"363","vs_HLproLot1","Raccoon","Omnivore"
"364","vs_HLproSim1","Greater bamboo lemur","Herbivore"
"365","vs_HLprzAlb1","Thorold's deer","Herbivore"
"366","vs_HLpseCor1","Plush-coated ringtail possum","Herbivore"
"367","vs_HLpseCup1","Coppery ringtail possum","Herbivore"
"368","vs_HLpteGig1","Indian flying fox","Herbivore"
"369","vs_HLptePse1","Bonin flying fox","Herbivore"
"370","vs_HLpteRuf1","Madagascan flying fox","Herbivore"
"371","vs_HLpumYag1","Jaguarundi","Vertivore"
"372","vs_HLrapCam1","Steenbok","Herbivore"
"373","vs_HLratRat7","Black rat","Omnivore"
"374","vs_HLredRed1","Bohor reedbuck","Herbivore"
"375","vs_HLrhiUni1","Indian rhinoceros","Herbivore"
"376","vs_HLrhiFer5","Greater horseshoe bat","Insectivore"
"377","vs_HLrhiPru1","Hoary bamboo rat","Herbivore"
"378","vs_HLrhoOpi1","Great gerbil","Herbivore"
"379","vs_HLrouLes1","Leschenault's rousette","Herbivore"
"380","vs_HLrouMad1","Madagascan rousette","Herbivore"
"381","vs_HLsciCar1","Eastern gray squirrel","Herbivore"
"382","vs_HLsciVul1","Red squirrel","Herbivore"
"383","vs_HLsouChi1","Indo-Pacific humpbacked dolphin","Vertivore"
"384","vs_HLsylGri1","Common duiker","Herbivore"
"385","vs_HLsylBac1","Brush rabbit","Herbivore"
"386","vs_HLsynCaf1","African buffalo","Herbivore"
"387","vs_HLtacAcu1","Short-beaked echidna","Insectivore"
"388","vs_HLtalOcc1","Spanish mole","Insectivore"
"389","vs_HLtamTet1","Southern tamandua","Insectivore"
"390","vs_HLtaxTax1","American Badger","Vertivore"
"391","vs_HLtheGel1","Gelada","Herbivore"
"392","vs_HLtolMat1","Southern three-banded armadillo","Omnivore"
"393","vs_HLtraFra1","Francois' leaf monkey","Herbivore"
"394","vs_HLtraImb1","Lesser kudu","Herbivore"
"395","vs_HLtraScr1","Harnessed bushbuck","Herbivore"
"396","vs_HLtraStr1","Greater kudu","Herbivore"
"397","vs_HLtraKan1","Lesser mouse-deer","Herbivore"
"398","vs_HLtriVul1","Common brushtail possum","Herbivore"
"399","vs_tupBel1","Northern treeshrew","Insectivore"
"400","vs_HLturAdu1","Indo-Pacific bottlenose dolphin","Vertivore"
"401","vs_HLursAme1","American black bear","Omnivore"
"402","vs_HLursArc1","Grizzly bear","Omnivore"
"403","vs_HLursThi1","Asian black bear","Omnivore"
"404","vs_HLvicVicMen1","Peruvian vicuna","Herbivore"
"405","vs_HLvomUrs1","Common wombat","Herbivore"
"406","vs_HLvulVul1","Red fox","Vertivore"
"407","Mammalia","Mammalia","Insectivore"
"408","Marsupalia","Marsupalia","Insectivore"
"409","Placentalia","Placentalia","Insectivore"
"410","Chiroptera","Chiroptera","Insectivore"
"411","Primates","Primates","Omnivore"
