"gmtNames","gmtDriver"
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS","Herbivore"
"REACTOME_METHYLATION","Herbivore"
"REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES","Herbivore"
"REACTOME_AMINO_ACID_CONJUGATION","Unclear"
"REACTOME_GLUCURONIDATION","Unclear"
"REACTOME_GLUTATHIONE_CONJUGATION","Herbivore"
"REACTOME_ELASTIC_FIBRE_FORMATION","Both"
"REACTOME_FIBRONECTIN_MATRIX_FORMATION","Unclear"
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS","Unclear"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION","Insectivore"
"REACTOME_SIGNALING_BY_NOTCH","Both"
"REACTOME_TELOMERE_MAINTENANCE","Both"
"REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION","Both"
"REACTOME_METABOLISM_OF_NUCLEOTIDES","Herbivore"
"REACTOME_MITOCHONDRIAL_BIOGENESIS","Both"
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA","Both"
"REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS","Both"
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES","Both"
"REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS","Herbivore"
"REACTOME_REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA_CARBOXYLATED_PROTEINS","Unclear"
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS","Unclear"
"REACTOME_ZBP1_DAI_MEDIATED_INDUCTION_OF_TYPE_I_IFNS","Unclear"
"REACTOME_IRF3_MEDIATED_ACTIVATION_OF_TYPE_1_IFN","Unclear"
"REACTOME_SULFIDE_OXIDATION_TO_SULFATE","Unclear"
"REACTOME_DEGRADATION_OF_CYSTEINE_AND_HOMOCYSTEINE","Herbivore"
"REACTOME_SULFUR_AMINO_ACID_METABOLISM","Herbivore"
"REACTOME_HIV_LIFE_CYCLE","Both"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION","Both"
"REACTOME_INTEGRATION_OF_PROVIRUS","Unclear"
"REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE","Unclear"
"REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION","Unclear"
"REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI","Both"
"REACTOME_ATTACHMENT_OF_GPI_ANCHOR_TO_UPAR","Unclear"
"REACTOME_HIV_INFECTION","Both"
"REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS","Unclear"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM","Both"
"REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS","Both"
"REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS","Both"
"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING","Unclear"
"REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS","Unclear"
"REACTOME_GLUCAGON_SIGNALING_IN_METABOLIC_REGULATION","Both"
"REACTOME_TRIGLYCERIDE_CATABOLISM","Unclear"
"REACTOME_AMPK_INHIBITS_CHREBP_TRANSCRIPTIONAL_ACTIVATION_ACTIVITY","Unclear"
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM","Both"
"REACTOME_CHREBP_ACTIVATES_METABOLIC_GENE_EXPRESSION","Unclear"
"REACTOME_PP2A_MEDIATED_DEPHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS","Unclear"
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM","Both"
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM","Both"
"REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION","Both"
"REACTOME_CELL_CYCLE","Both"
"REACTOME_SIGNALING_BY_EGFR_IN_CANCER","Unclear"
"REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING","Both"
"REACTOME_2_LTR_CIRCLE_FORMATION","Unclear"
"REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS","Unclear"
"REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION","Unclear"
"REACTOME_NEF_AND_SIGNAL_TRANSDUCTION","Unclear"
"REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS","Unclear"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES","Insectivore"
"REACTOME_MTOR_SIGNALLING","Both"
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","Insectivore"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE","Unclear"
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS","Herbivore"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Both"
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE","Unclear"
"REACTOME_MITOCHONDRIAL_UNCOUPLING","Unclear"
"REACTOME_MTORC1_MEDIATED_SIGNALLING","Both"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES","Both"
"REACTOME_SIGNALING_BY_NTRKS","Both"
"REACTOME_COMPLEMENT_CASCADE","Unclear"
"REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION","Unclear"
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","Unclear"
"REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT","Unclear"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","Unclear"
"REACTOME_SIGNALLING_TO_RAS","Unclear"
"REACTOME_HIV_TRANSCRIPTION_INITIATION","Unclear"
"REACTOME_HIV_TRANSCRIPTION_ELONGATION","Both"
"REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME","Both"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT","Both"
"REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY","Unclear"
"REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION","Unclear"
"REACTOME_THE_FATTY_ACID_CYCLING_MODEL","Unclear"
