	GO_Biological_Process_2023.stat	GO_Biological_Process_2023.pval	GO_Biological_Process_2023.p.adj	GO_Biological_Process_2023.num.genes	GO_Biological_Process_2023.gene.vals
Regulation Of Cell Fate Commitment (GO:0010453)	-0.022636238	0.847736721	0.988080918	6	"GATAD2A:5124.5, HDAC1:5124.5, CHD4:5124.5, CHD3:5124.5, HDAC2:5124.5, GDF3:10419"
Regulation Of Cell Fate Specification (GO:0042659)	-0.091983037	0.47629028	0.939968884	5	"GATAD2A:5124.5, DKK1:5124.5, HDAC1:5124.5, CHD4:5124.5, HDAC2:5124.5"
Regulation Of Cell Growth (GO:0001558)	-0.017594192	0.45013676	0.939968884	156	"RPTOR:25, SH3BP4:304, KIF26A:414, NRG3:457, CAMK2D:477, LAMTOR1:553, WFDC1:569, HDGFL2:667, MINAR1:691, TGFB1:723, KAT7:757, MUL1:769, PML:886, CEP43:958, MLST8:1071, PAK6:1114, PTPRJ:5124.5, BCAR1:5124.5, ACVRL1:5124.5, SMAD4:5124.5, TP53:5124.5, CDKN2AIP:5124.5, DCUN1D5:5124.5, TAOK2:5124.5, CDKN1A:5124.5, YAP1:5124.5, CIB1:5124.5, BCL6:5124.5, MTOR:5124.5, BRAT1:5124.5, CDKN1B:5124.5, SESN2:5124.5, N6AMT1:5124.5, DNAJB2:5124.5, DERL2:5124.5, EGFR:5124.5, ERBB2:5124.5, RAB33B:5124.5, SLC6A2:5124.5, ADAM17:5124.5, EXOSC9:5124.5, PPP1R9B:5124.5, AGTR1:5124.5, RB1:5124.5, ARHGEF11:5124.5, CDKN2A:5124.5, KIF14:5124.5, IL2:5124.5, INS:5124.5, PRR5:5124.5, FLCN:5124.5, RICTOR:5124.5, SFRP2:5124.5, FXN:5124.5, SIPA1:5124.5, S100A8:5124.5, PPT1:5124.5, CCN3:5124.5, HYAL2:5124.5, ADAM10:5124.5, SDCBP:5124.5, ATAD3A:5124.5, SLIT2:5124.5, SLIT1:5124.5, PAK4:5124.5, JADE1:5124.5, RTN4:5124.5, CDK11B:5124.5, TNC:5124.5, MYL2:5124.5, NPR1:5124.5, SOX17:5124.5, SPHK1:5124.5, EIF4G1:5124.5, ENO1:5124.5, ADAM15:5124.5, TEAD1:5124.5, MMP14:5124.5, SPHK2:5124.5, KLHL22:5124.5, EGLN2:5124.5, ESR2:5124.5, URI1:5124.5, FBP1:5124.5, TFRC:5124.5, SPOCK1:5124.5, MELTF:5124.5, TMEM97:5124.5, SMARCA2:5124.5, SMARCA4:5124.5, ING4:5124.5, ITCH:5124.5, TRIM32:5124.5, CHPT1:5124.5, MTPN:5124.5, JADE3:5124.5, NUBP1:5124.5, SGK1:5124.5, EI24:5124.5, DDX49:5124.5, TSPYL2:5124.5, CCDC85B:5124.5, CRLF3:5124.5, CSNK2A1:5124.5, BTG1:5124.5, CGRRF1:5124.5, ST7L:5124.5, CDA:5124.5, CAPRIN2:5124.5, OSGIN2:5124.5, DCBLD2:5124.5, RERG:5124.5, SERTAD2:5124.5, CISH:5124.5, IL17RB:5124.5, EBAG9:5124.5, LTBP4:5124.5, SLC25A33:9451, OSGIN1:9519, MAD2L2:9561, MFSD2A:9574, STK11:9596, RASGRP2:9613, BMPR2:9716, JADE2:9791, PRKCQ:9802, SIRT1:9869, CCAR2:9973, WT1:9977, USP47:10103, DCSTAMP:10236, GDF2:10429, RNF2:10515, ROS1:10578, SGK2:10598, PAPPA2:10637, PSRC1:10734, PRDM11:10841, TCHP:10905, FRZB:10999, AGT:11087, ENPP1:11123, AKAP6:11144, CYP27B1:11320, BMP10:11330, HPN:11749, BRCA1:11803, PLCE1:11805, LAMTOR2:11833, HYAL1:11920, NRG1:11964, SUPV3L1:12046, NDUFS3:12061, ARMC12:12158, SLC44A4:12199, PTCH2:12441"
Regulation Of Cell Junction Assembly (GO:1901888)	-0.016400485	0.820379585	0.988080918	16	"ROCK2:515, CHRNB2:5124.5, MEF2C:5124.5, ROCK1:5124.5, SNAI2:5124.5, PRKACA:5124.5, RAP1A:5124.5, RAPGEF1:5124.5, MYO1C:5124.5, TJP1:5124.5, F11R:5124.5, RAB17:5124.5, SETD5:5124.5, PDLIM5:10626, RAPGEF2:12337, CRB3:12608"
Regulation Of Cell Killing (GO:0031341)	-0.189525492	0.189270629	0.814887427	4	"MAPK8:228, IL10:5124.5, ICAM1:5124.5, CD59:5124.5"
Regulation Of Cell Migration (GO:0030334)	-0.038464356	0.020948841	0.627203235	310	"CAMK2B:6, PTK2B:63, SEMA5A:133, PTEN:151, HAS2:152, PTK2:171, NTNG2:225, SEMA4D:240, SEMA4B:264, PLXNC1:329, RNF41:334, CAMSAP3:340, PLXNA2:387, KIF26A:414, TIAM1:441, DRD2:495, FGF9:499, MYADM:501, RAP2B:507, ROCK2:515, FAM83H:517, CSRP3:609, MAZ:635, PHACTR1:661, NOTCH1:672, TGFB1:723, PLXNA4:730, RNF20:745, GTPBP4:751, ITGA6:759, STAT3:816, SAP30L:828, CTSH:843, TNR:951, CEP43:958, SCAI:959, ACE:975, PRR5L:1093, WASHC1:5124.5, IL4:5124.5, PTPRJ:5124.5, KIT:5124.5, PIK3CD:5124.5, ADGRG3:5124.5, EPHB2:5124.5, DOCK10:5124.5, CD74:5124.5, BCAR1:5124.5, BMP2:5124.5, ACVRL1:5124.5, NOG:5124.5, ENG:5124.5, MAPK15:5124.5, EPHA2:5124.5, ING2:5124.5, CIB1:5124.5, FOXO3:5124.5, EGFR:5124.5, ERBB4:5124.5, GRB7:5124.5, VIL1:5124.5, MYOC:5124.5, IGF1:5124.5, KDR:5124.5, FGR:5124.5, FER:5124.5, CCR1:5124.5, ANXA1:5124.5, CAMK2A:5124.5, CCNA2:5124.5, CLN3:5124.5, SORL1:5124.5, ROCK1:5124.5, MINK1:5124.5, IL1B:5124.5, NF1:5124.5, MAP4K4:5124.5, MGAT3:5124.5, JAG1:5124.5, SNAI2:5124.5, ADAM17:5124.5, ADARB1:5124.5, SF3B3:5124.5, CDH13:5124.5, RAC1:5124.5, NGFR:5124.5, ARHGAP4:5124.5, RHOD:5124.5, KIF14:5124.5, PPP3CA:5124.5, CLEC7A:5124.5, F2RL1:5124.5, INS:5124.5, SHH:5124.5, THY1:5124.5, FLCN:5124.5, SFRP2:5124.5, FLNA:5124.5, CASS4:5124.5, NEDD9:5124.5, FGF7:5124.5, CARMIL1:5124.5, RUFY3:5124.5, MYO1C:5124.5, SUN2:5124.5, EPHA1:5124.5, CNTN1:5124.5, ROBO1:5124.5, INSR:5124.5, PDGFB:5124.5, VEGFA:5124.5, TJP1:5124.5, CDH5:5124.5, CDH1:5124.5, APLP2:5124.5, APPL1:5124.5, AMOT:5124.5, AMOTL1:5124.5, AMOTL2:5124.5, ADAM10:5124.5, SST:5124.5, SDCBP:5124.5, PDGFRB:5124.5, MYLK:5124.5, SLIT2:5124.5, EMILIN1:5124.5, RHOC:5124.5, THBS1:5124.5, SOD2:5124.5, ALOX15B:5124.5, CXCR4:5124.5, OGT:5124.5, CYP1B1:5124.5, TP53INP1:5124.5, CTNNA2:5124.5, SEMA5B:5124.5, SEMA4A:5124.5, SEMA4F:5124.5, SEMA4G:5124.5, PLXNB3:5124.5, RELN:5124.5, DAG1:5124.5, SEMA6C:5124.5, SEMA6D:5124.5, SEMA6B:5124.5, SEMA7A:5124.5, RET:5124.5, LGR6:5124.5, ROBO4:5124.5, SEMA3D:5124.5, SEMA3E:5124.5, SEMA3B:5124.5, SEMA3C:5124.5, SEMA3G:5124.5, TNC:5124.5, COL1A1:5124.5, FLT1:5124.5, FLT4:5124.5, FGF8:5124.5, ADIPOQ:5124.5, SPHK1:5124.5, MCTP1:5124.5, AMH:5124.5, PDGFRA:5124.5, DDRGK1:5124.5, FGF4:5124.5, HGF:5124.5, CSF1R:5124.5, NUMB:5124.5, PTPRT:5124.5, TRIP6:5124.5, TNN:5124.5, ADAM15:5124.5, ITGAX:5124.5, MITF:5124.5, MMP14:5124.5, IGF1R:5124.5, LMNA:5124.5, FGF21:5124.5, FGF20:5124.5, FGF23:5124.5, FGF22:5124.5, FGF18:5124.5, FGF17:5124.5, FGF19:5124.5, FGF5:5124.5, HDAC1:5124.5, CYRIB:5124.5, STK24:5124.5, FSHB:5124.5, PPM1F:5124.5, PDGFC:5124.5, SUDS3:5124.5, ARID2:5124.5, HDAC2:5124.5, KRT16:5124.5, SPAG9:5124.5, TRIM32:5124.5, DUSP10:5124.5, LAMB1:5124.5, ROR2:5124.5, CSF1:5124.5, CD151:5124.5, TMEFF2:5124.5, KRT5:5124.5, LAMC2:5124.5, KANK1:5124.5, DLG5:5124.5, RECK:5124.5, NKD1:5124.5, PLAU:5124.5, SPATA13:5124.5, CEMIP:5124.5, BRMS1L:5124.5, BRMS1:5124.5, SMIM22:5124.5, SGK1:5124.5, KIF2A:5124.5, CCAR1:5124.5, RFFL:5124.5, VSIR:5124.5, DACH1:5124.5, LDB2:5124.5, SINHCAF:5124.5, SIN3B:5124.5, TWIST2:5124.5, MIEN1:5124.5, SERPINE2:5124.5, MMRN2:5124.5, TCAF1:5124.5, ARPIN:5124.5, SRGAP1:5124.5, NAV3:5124.5, TCAF2:5124.5, SRCIN1:5124.5, MGAT5:5124.5, LRRC15:5124.5, PDGFD:5124.5, SASH1:5124.5, ELP6:5124.5, F10:5124.5, ARHGEF39:5124.5, DAB2:9144, FUZ:9149, CPNE3:9250, F2R:9258, APC:9323, SULF1:9416, PLXND1:9460, CLIC4:9472, FYN:9485, PIP5KL1:9486, OSGIN1:9519, SEMA4C:9608, PARD6B:9623, HBEGF:9624, SMO:9636, CARMIL2:9823, ZNF703:9936, XBP1:9984, MAGI2:10120, MEAK7:10179, GPNMB:10194, PLEKHG3:10210, MMP7:10214, EGF:10217, PECAM1:10247, ENPP2:10319, F7:10351, TBX5:10389, TRADD:10546, DAAM2:10555, ATM:10730, ADORA3:10743, MIA3:10769, DPEP1:10912, ZMYND8:10927, TMIGD3:11222, ELP5:11305, ITGB1:11319, BMP10:11330, CORO1C:11341, EDN1:11444, FERMT3:11447, MACF1:11470, IGSF10:11484, ARID4A:11586, SEMA3F:11595, CCL24:11651, ULK4:11716, PODN:11728, SH3RF2:11761, SERPINE1:11780, ARID4B:11934, LIMCH1:11935, GCNT2:11968, PLXNB1:11973, ADRA2A:12003, NEXN:12100, TTBK2:12102, TBCCD1:12270, TMIGD1:12380, ANGPTL3:12416, CHRD:12472, GRN:12494, EMILIN2:12499, ADAM9:12522, SYNE2:12540, ARSB:12630, TET1:12728"
Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090049)	-0.056931945	0.37829027	0.939968884	20	"STARD13:455, NOTCH1:672, HDAC5:5124.5, HDAC9:5124.5, CIB1:5124.5, KDR:5124.5, ANXA1:5124.5, MAP3K3:5124.5, CARD10:5124.5, DLL4:5124.5, VEGFA:5124.5, THBS1:5124.5, HMOX1:5124.5, KLF4:5124.5, MMRN2:5124.5, FGFBP1:5124.5, SRPX2:5124.5, PTGS2:10747, JCAD:11025, PIK3C2A:11845"
Regulation Of Cell Morphogenesis (GO:0022604)	0.01308019	0.839586347	0.988080918	20	"SH3D19:176, ZMYM6:220, MACF1:1265, MYO9A:1936, CD44:2193, ZMYM4:2929, PHIP:2936, MFSD2A:3161, VIL1:7610.5, CAPZB:7610.5, EFNA5:7610.5, STRIP1:7610.5, FMNL2:7610.5, LARP4:7610.5, PDZD8:7610.5, ZMYM3:7610.5, MOV10:11972, CAMSAP1:12366, NTNG2:12510, FITM2:12562"
Regulation Of Cell Motility (GO:2000145)	-0.035538417	0.25844654	0.858211979	85	"PLXNC1:329, CAMSAP3:340, PLXNA2:387, FGF9:499, ROCK2:515, CSRP3:609, TGFB1:723, ARHGAP18:726, PLXNA4:730, TNR:951, CRK:984, ADGRG3:5124.5, DOCK10:5124.5, NTN1:5124.5, ERBB4:5124.5, CDK6:5124.5, ROCK1:5124.5, MINK1:5124.5, MGAT3:5124.5, PIN1:5124.5, RAC1:5124.5, KIF14:5124.5, CCL21:5124.5, CCR7:5124.5, CCL19:5124.5, FLNA:5124.5, FGF7:5124.5, AMOT:5124.5, AMOTL1:5124.5, PKN2:5124.5, AMOTL2:5124.5, SST:5124.5, ROBO4:5124.5, TNC:5124.5, FBLN1:5124.5, FGF8:5124.5, OCRL:5124.5, FGF4:5124.5, SPOCK2:5124.5, CSF1R:5124.5, TNN:5124.5, DUOX1:5124.5, LMNA:5124.5, FGF21:5124.5, FGF20:5124.5, FGF23:5124.5, FGF22:5124.5, FGF18:5124.5, FGF17:5124.5, FGF19:5124.5, FGF5:5124.5, ABL2:5124.5, FES:5124.5, CYRIB:5124.5, TRIM32:5124.5, KRT5:5124.5, SPATA13:5124.5, SGK1:5124.5, KIF2A:5124.5, CAVIN1:5124.5, LDB2:5124.5, SERPINE2:5124.5, SPOCK3:5124.5, PRAG1:5124.5, SRCIN1:5124.5, TACSTD2:9300, PLXND1:9460, FYN:9485, OSGIN1:9519, PARD6B:9623, WAS:9703, SPINT2:9765, CCDC125:10169, MEAK7:10179, PLEKHG3:10210, ENPP2:10319, ABL1:10973, PKN1:11151, MACF1:11470, PLXNB1:11973, DUOX2:12062, NEXN:12100, TTBK2:12102, TBCCD1:12270, TMIGD1:12380"
Regulation Of Cell Population Proliferation (GO:0042127)	-0.033829503	0.008382468	0.440262871	535	"IGFBP3:13, ADGRB1:27, TCFL5:42, SCIN:60, PTK2B:63, VIPR1:103, HDAC4:118, RPS6KA2:138, PTEN:151, HAS2:152, PTK2:171, SHANK2:188, NACC2:211, CD200:216, AGO3:280, XIAP:286, ACE2:289, SH3BP4:304, MYC:324, RNF41:334, KCNH1:428, TIAM1:441, DRD2:495, FGF9:499, TGFBR2:546, MAZ:635, TFAP2B:644, NOTCH1:672, MINAR1:691, TGFB1:723, CEP131:744, GTPBP4:751, PPP2R5C:777, NIBAN2:779, CDK10:799, STAT3:816, TFAP2E:833, CTSH:843, AZGP1:854, PML:886, NOS3:893, TFAP2C:900, CTNNB1:906, DIS3L2:916, KITLG:923, PDS5B:937, TBC1D8:952, CEP43:958, RPS4X:1008, DLL1:1013, CTBP2:1021, GAS8:1044, ARHGEF2:1055, TMEM250:1078, DNAJA2:1115, CTBP1:1147, TRIM71:5124.5, ZFP36L1:5124.5, SLC25A5:5124.5, CD47:5124.5, IL10:5124.5, IL4:5124.5, PTPRJ:5124.5, KIT:5124.5, FLT3:5124.5, BMP6:5124.5, BMP2:5124.5, ACVRL1:5124.5, SMAD6:5124.5, ENG:5124.5, TNFSF4:5124.5, PPM1D:5124.5, HMGB2:5124.5, DOT1L:5124.5, UFL1:5124.5, MAPK15:5124.5, TP53:5124.5, SPDYA:5124.5, NKX3-1:5124.5, TIMELESS:5124.5, CDKN1A:5124.5, ASH2L:5124.5, YAP1:5124.5, CIB1:5124.5, MEN1:5124.5, BCL6:5124.5, WNT1:5124.5, FBXO5:5124.5, MDM4:5124.5, MDM2:5124.5, CDKN1B:5124.5, FOXM1:5124.5, E2F7:5124.5, TIPIN:5124.5, XRCC6:5124.5, CNBP:5124.5, ACTL6A:5124.5, TBRG1:5124.5, AXIN2:5124.5, NAP1L1:5124.5, CDK2:5124.5, EREG:5124.5, TSC22D1:5124.5, PBRM1:5124.5, CDC73:5124.5, NCCRP1:5124.5, CALR:5124.5, DNAJB2:5124.5, DERL2:5124.5, RNF139:5124.5, SOS1:5124.5, SHC1:5124.5, EGFR:5124.5, ERBB4:5124.5, BTC:5124.5, EPGN:5124.5, ERBB2:5124.5, MAP2K1:5124.5, IGF1:5124.5, KDR:5124.5, ITGAV:5124.5, NR4A3:5124.5, FER:5124.5, HTR1A:5124.5, CDC7:5124.5, CDK6:5124.5, KLF11:5124.5, CDC25B:5124.5, RAB33B:5124.5, ID2:5124.5, DAB2IP:5124.5, BIRC2:5124.5, RELA:5124.5, CRKL:5124.5, FGFR1:5124.5, FGFR3:5124.5, IL1B:5124.5, KAT2B:5124.5, PFDN1:5124.5, NOX1:5124.5, JAG1:5124.5, JAG2:5124.5, ADAM17:5124.5, DLL4:5124.5, HES1:5124.5, SRPK2:5124.5, NUP62:5124.5, ADARB1:5124.5, TBRG4:5124.5, WDR6:5124.5, APP:5124.5, PPP1R9B:5124.5, TENT5B:5124.5, GDNF:5124.5, VIP:5124.5, RHOG:5124.5, CDH13:5124.5, AGTR1:5124.5, ADGRG1:5124.5, KSR1:5124.5, CDKN2A:5124.5, KIF14:5124.5, SKI:5124.5, INHA:5124.5, SOX4:5124.5, IL2:5124.5, DPP4:5124.5, PPP3CA:5124.5, CLEC7A:5124.5, INS:5124.5, CXCL10:5124.5, CXCL11:5124.5, SHH:5124.5, EMP2:5124.5, STAT4:5124.5, IL21:5124.5, JUP:5124.5, SFRP4:5124.5, SFRP2:5124.5, LRP5:5124.5, STRN:5124.5, FXN:5124.5, MVD:5124.5, CHRNA7:5124.5, GHRL:5124.5, SLC9A3R1:5124.5, FGF7:5124.5, MYO1C:5124.5, JAK2:5124.5, TSC1:5124.5, EPHA1:5124.5, AVPR2:5124.5, LGMN:5124.5, EGLN3:5124.5, COL4A3:5124.5, AVPR1A:5124.5, AVPR1B:5124.5, INSR:5124.5, PDGFB:5124.5, VEGFA:5124.5, KLHL41:5124.5, TJP1:5124.5, IL6R:5124.5, MLXIPL:5124.5, PF4:5124.5, GHRHR:5124.5, CXCL9:5124.5, ADRA1D:5124.5, GNAI2:5124.5, GRK5:5124.5, GLP2R:5124.5, CSNK2B:5124.5, INSM1:5124.5, DDAH1:5124.5, NOX4:5124.5, FOLR2:5124.5, ATP8A2:5124.5, VHL:5124.5, ADAM10:5124.5, ECRG4:5124.5, PLPP1:5124.5, TSC2:5124.5, TBX3:5124.5, SST:5124.5, CHRNA10:5124.5, SDCBP:5124.5, PDGFRB:5124.5, EMILIN1:5124.5, THBS1:5124.5, SOD2:5124.5, CLU:5124.5, ALOX15B:5124.5, IL1A:5124.5, IRF1:5124.5, IFNG:5124.5, ERBB3:5124.5, CYP1B1:5124.5, CNTF:5124.5, NTRK1:5124.5, FN1:5124.5, ULK1:5124.5, ATG101:5124.5, TP53INP1:5124.5, RB1CC1:5124.5, FGFR2:5124.5, S100B:5124.5, EDN3:5124.5, STAT1:5124.5, EDN2:5124.5, GREM1:5124.5, FLT4:5124.5, OSR2:5124.5, P3H1:5124.5, TFAP2A:5124.5, FGF8:5124.5, IL7:5124.5, MEIS2:5124.5, MEIS1:5124.5, SIX1:5124.5, AMH:5124.5, PDGFRA:5124.5, NKX2-6:5124.5, MYOCD:5124.5, DDRGK1:5124.5, FGF4:5124.5, POU3F3:5124.5, CSF1R:5124.5, TENM1:5124.5, UMOD:5124.5, ITGA1:5124.5, ITGAX:5124.5, IGF1R:5124.5, FOSL1:5124.5, TCIRG1:5124.5, CXCR2:5124.5, TIMP1:5124.5, NEURL1:5124.5, CHP2:5124.5, PRDX3:5124.5, STAT6:5124.5, STAT5A:5124.5, GSDME:5124.5, OSMR:5124.5, IL6ST:5124.5, PTPN6:5124.5, CSF2:5124.5, EPOR:5124.5, HP1BP3:5124.5, LMNA:5124.5, IRS1:5124.5, FGF21:5124.5, FGF20:5124.5, FGF23:5124.5, FGF22:5124.5, SHCBP1:5124.5, FGF18:5124.5, FGF17:5124.5, FGF16:5124.5, FGF19:5124.5, FGF5:5124.5, TSPYL5:5124.5, NUAK1:5124.5, PDCD5:5124.5, HDAC1:5124.5, IER5:5124.5, AKR1B1:5124.5, FOXO4:5124.5, IL15:5124.5, FES:5124.5, TNFRSF8:5124.5, NTRK2:5124.5, NGF:5124.5, ZNF16:5124.5, FSHB:5124.5, TNFRSF11A:5124.5, IFNLR1:5124.5, VEGFC:5124.5, VEGFD:5124.5, TFRC:5124.5, PDGFC:5124.5, MELTF:5124.5, SQLE:5124.5, SMARCA2:5124.5, SMARCA4:5124.5, ACTL6B:5124.5, SETD4:5124.5, ING4:5124.5, BRD9:5124.5, ARID2:5124.5, BCL7A:5124.5, BCL7C:5124.5, SMARCD1:5124.5, HDAC2:5124.5, BICRA:5124.5, COL18A1:5124.5, IL34:5124.5, MCTS1:5124.5, GLI1:5124.5, HGS:5124.5, MST1R:5124.5, SOX7:5124.5, CSF1:5124.5, ALK:5124.5, LAMC2:5124.5, DLG5:5124.5, SAPCD2:5124.5, TSPO:5124.5, ADAMTS1:5124.5, ADAMTS8:5124.5, ENPP7:5124.5, KMT2D:5124.5, TOB2:5124.5, WARS1:5124.5, POU3F2:5124.5, CTF1:5124.5, WWTR1:5124.5, SMYD2:5124.5, IL9:5124.5, GAB2:5124.5, SMIM22:5124.5, SGK1:5124.5, PHF14:5124.5, IFI35:5124.5, TTK:5124.5, DNAJA3:5124.5, CCAR1:5124.5, SPEG:5124.5, SLAMF1:5124.5, CBFA2T3:5124.5, ANHX:5124.5, NUPR1:5124.5, ZBTB17:5124.5, ZBTB49:5124.5, SINHCAF:5124.5, ZNF503:5124.5, WNK2:5124.5, TMEM127:5124.5, IGFBP6:5124.5, CSNK2A1:5124.5, BIRC6:5124.5, BIRC7:5124.5, SLC35F6:5124.5, MMRN2:5124.5, BTG1:5124.5, NUDT6:5124.5, CGRRF1:5124.5, RERG:5124.5, P3H3:5124.5, TES:5124.5, ZBTB7C:5124.5, TNS2:5124.5, FGFBP1:5124.5, CGREF1:5124.5, TGFB1I1:5124.5, PTPN14:5124.5, CLMN:5124.5, EPCAM:5124.5, NPR3:5124.5, CNOT6L:5124.5, CCKBR:5124.5, PDGFD:5124.5, BST1:5124.5, CCDC117:5124.5, ZNF609:5124.5, EGR4:5124.5, EAPP:5124.5, GID8:5124.5, CAPNS1:5124.5, TNFSF13:5124.5, ESM1:5124.5, SERTAD1:5124.5, S1PR3:5124.5, CLEC11A:5124.5, TFAP2D:5124.5, CDCA7:5124.5, TNFRSF9:5124.5, BRICD5:5124.5, HTR2B:9119, FUZ:9149, IL7R:9230, F2R:9258, ETS1:9260, APC:9323, XRCC5:9334, KDM4C:9337, CXCL8:9443, SLC25A33:9451, TCL1A:9463, TRPM4:9482, OSGIN1:9519, OPRM1:9595, STK11:9596, HBEGF:9624, SMARCC1:9626, AREG:9648, SH2B3:9688, SULT2B1:9700, BMPR2:9716, LIFR:9734, PHIP:9799, IL12RB2:9809, MARCHF7:9824, SIRT1:9869, HCK:9893, ST18:9905, INCA1:9931, ZNF703:9936, WT1:9977, XBP1:9984, EIF2AK2:10017, IL31RA:10030, BNIPL:10038, BTG4:10073, GHRH:10078, MAGI2:10120, ZNF777:10138, MEAK7:10179, GPNMB:10194, MATK:10196, EGF:10217, FGFR4:10231, CD86:10241, AMBN:10275, IFIT3:10281, GKN1:10306, S1PR2:10370, TBX5:10389, PRC1:10414, MYO16:10417, RARA:10438, DBF4B:10452, GPLD1:10463, RNF2:10515, P3H2:10569, SGK2:10598, KIF20B:10658, IL11RA:10676, CCN6:10680, ADORA3:10743, RTKN2:10791, CAPN1:10820, HCLS1:10862, GNL3:10930, CCDC88A:10975, ATG13:10985, FRZB:10999, PTHLH:11043, GLMN:11072, AGT:11087, PLG:11133, CSF3:11155, EPO:11159, SIX4:11175, TMIGD3:11222, NOP2:11232, CDCA7L:11242, IL6:11248, IL9R:11318, CYP27B1:11320, KANK2:11324, FTMT:11331, DHPS:11354, KLF10:11401, EDN1:11444, FOXP3:11514, GDF9:11568, PINX1:11591, BICRAL:11707, UTP20:11719, PODN:11728, AQP11:11730, THPO:11773, GKN2:11925, CER1:11960, NRG1:11964, MZB1:11965, GCNT2:11968, ADRA2A:12003, PRKDC:12064, STAT2:12072, PKD2:12114, CCPG1:12147, CDC6:12168, PKHD1:12214, RAPGEF2:12337, GAREM1:12359, TMIGD1:12380, PTPN2:12411, FKTN:12444, EMILIN2:12499, PGF:12527, PLA2G1B:12589, IFNK:12661, UHRF1:12706, PTGFR:12729"
Regulation Of Cell Projection Organization (GO:0031344)	-0.024029181	0.802902464	0.985463696	9	"NTNG2:225, SEMA4D:240, MOV10:763, TREM2:5124.5, PROM2:5124.5, MFSD2A:9574, ERMN:10794, MYO9A:10799, MACF1:11470"
Regulation Of Cell Size (GO:0008361)	-0.090623171	0.171625818	0.814887427	19	"RPTOR:25, PTEN:151, VAV3:5124.5, MTOR:5124.5, VAV1:5124.5, VAV2:5124.5, RAC1:5124.5, ARHGAP5:5124.5, LAMTOR5:5124.5, LAMTOR4:5124.5, SLC9A3R1:5124.5, EZR:5124.5, PLEK:5124.5, RAP1GAP2:5124.5, CAV3:5124.5, MTPN:5124.5, PRR16:5124.5, LARS1:9402, EDN1:11444"
Regulation Of Cell-Cell Adhesion (GO:0022407)	-0.012191508	0.823421252	0.988080918	28	"TENM3:135, PTK2:171, TGFB1:723, GTPBP4:751, CD47:5124.5, NODAL:5124.5, WNT1:5124.5, MINK1:5124.5, FUT7:5124.5, FUT4:5124.5, JAG1:5124.5, DPP4:5124.5, CELSR2:5124.5, CDH1:5124.5, MEGF10:5124.5, EFNA5:5124.5, EPHB3:5124.5, MAGI1:5124.5, ADAM8:5124.5, FLOT2:5124.5, SPINT2:9765, PTPRR:9780, B4GALNT2:10234, PTPRG:10980, FERMT3:11447, MDGA1:11565, PKHD1:12214, RNASE10:12577"
Regulation Of Cell-Cell Adhesion Involved In Gastrulation (GO:0070587)	-0.192702773	0.077490338	0.679125738	7	"MYADM:501, APOA1:868, IL10:5124.5, WNK1:5124.5, MAPK7:5124.5, KLF4:5124.5, IL1RN:5124.5"
Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047)	-0.058709305	0.447025418	0.939968884	14	"NOTCH1:672, BMP6:5124.5, NOTCH4:5124.5, VEGFA:5124.5, TJP1:5124.5, FOXA2:5124.5, SERPINF2:5124.5, PPM1F:5124.5, FOXA1:5124.5, NEXMIF:5124.5, EPCAM:5124.5, DENND6A:5124.5, MAD2L2:9561, PLG:11133"
Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632)	0.059064547	0.588426963	0.948103722	7	"SKAP1:391, FERMT3:1288, CXCL13:7610.5, CD3E:7610.5, DPP4:7610.5, WNK1:7610.5, PIEZO1:7610.5"
Regulation Of Cell-Matrix Adhesion (GO:0001952)	-0.05325774	0.184569683	0.814887427	52	"PTK2B:63, TLN1:94, PTK2:171, CAMSAP3:340, ROCK2:515, CIB1:5124.5, MYOC:5124.5, CDK6:5124.5, CLASP1:5124.5, ROCK1:5124.5, MINK1:5124.5, NF1:5124.5, MAP4K4:5124.5, JAG1:5124.5, CDH13:5124.5, CDKN2A:5124.5, CCL21:5124.5, CD3E:5124.5, CCR7:5124.5, EMP2:5124.5, THY1:5124.5, JUP:5124.5, TSC1:5124.5, EPHA1:5124.5, CD36:5124.5, HOXA7:5124.5, THBS1:5124.5, EFNA5:5124.5, GPM6B:5124.5, EPHA3:5124.5, SEMA3E:5124.5, RASA1:5124.5, SLC9A1:5124.5, FUT1:5124.5, CCL25:5124.5, ADAM15:5124.5, PEAK1:5124.5, PTPRA:5124.5, CSF1:5124.5, PLAU:5124.5, CASK:5124.5, NEXMIF:5124.5, AJAP1:5124.5, BST1:5124.5, FYN:9485, PLEKHA2:11204, CORO1C:11341, MACF1:11470, PIK3CB:11852, LIMCH1:11935, PKHD1:12214, SKAP1:12344"
