"","GO_Biological_Process_2023.stat","GO_Biological_Process_2023.pval","GO_Biological_Process_2023.p.adj","GO_Biological_Process_2023.num.genes","GO_Biological_Process_2023.gene.vals"
"COPII-coated Vesicle Cargo Loading (GO:0090110)",0.0146057459113239,0.855349806147246,0.989078460317321,13,"SEC31B:786, MIA3:1966, SEC23B:2382, SEC24A:7610.5, SEC24C:7610.5, SEC24B:7610.5, SEC13:7610.5, TBC1D20:7610.5, SEC24D:7610.5, SAR1A:7610.5, SEC23A:7610.5, SH2D2A:7610.5, SEC31A:7610.5"
"CRD-mediated mRNA Stabilization (GO:0070934)",-0.0919830371567044,0.476290280138283,0.939968883639285,5,"DHX9:5124.5, YBX1:5124.5, IGF2BP1:5124.5, PABPC1:5124.5, HNRNPD:5124.5"
"Cdc42 Protein Signal Transduction (GO:0032488)",-0.0318085428657983,0.787307125432275,0.980443706825029,6,"SHTN1:5124.5, RHOV:5124.5, NTN1:5124.5, RHOBTB1:5124.5, RHOBTB2:5124.5, WAS:9703"
"DNA Alkylation (GO:0006305)",-0.0247287918603868,0.740264105766472,0.97363979200791,15,"EHMT1:784, KMT2E:5124.5, MTRR:5124.5, HELLS:5124.5, ATRX:5124.5, DNMT3A:5124.5, GATAD2A:5124.5, FOS:5124.5, EHMT2:5124.5, DNMT3L:5124.5, PPM1D:5124.5, BEND3:5124.5, DNMT3B:10075, SPOCD1:11250, BAZ2A:11317"
"DNA Biosynthetic Process (GO:0071897)",0.0538511513751534,0.485513556435317,0.939968883639285,14,"WRN:207, POLH:468, TYMS:1033, POLL:2340, SIRT1:2866, HROB:3149, RRM1:7610.5, WRNIP1:7610.5, POLA1:7610.5, POLD1:7610.5, RRM2B:7610.5, POLD3:7610.5, POLD2:11974, POLE:12633"
"DNA Catabolic Process (GO:0006308)",-0.0155324564115982,0.824589249362435,0.98808091821087,17,"TREX2:126, ISG20:631, DICER1:879, DFFB:5124.5, ENDOG:5124.5, EXOG:5124.5, REXO4:5124.5, CECR2:5124.5, TREX1:5124.5, DNASE1L3:5124.5, DNASE1L2:5124.5, DNASE2B:9125, MUS81:9238, DNASE1:9942, DNASE1L1:10153, FBH1:10533, DNASE2:12169"
"DNA Conformation Change (GO:0071103)",-0.0444444444444445,0.644334398711643,0.955504397691183,9,"TOP2B:5124.5, HMGB1:5124.5, TOP3A:5124.5, TOP2A:5124.5, TOP3B:5124.5, ERCC3:5124.5, HMGB3:5124.5, HMGB2:5124.5, MTERF1:10587"
"DNA Damage Checkpoint Signaling (GO:0000077)",0.0596921680859975,0.266199985595215,0.866255323108814,29,"CLSPN:433, RHNO1:624, ATR:684, TP53BP1:1206, ATRIP:1320, PARP9:1615, STK33:1792, RAD17:2410, DONSON:2423, ERCC6:2631, ZNF830:3385, USP28:7610.5, HUS1:7610.5, HINFP:7610.5, PRPF19:7610.5, ERCC4:7610.5, CEP63:7610.5, INTS7:7610.5, CLOCK:7610.5, RAD9A:7610.5, DOT1L:7610.5, H2AX:7610.5, UFL1:7610.5, E2F1:7610.5, CHEK2:7610.5, NBN:7610.5, MAP3K20:7610.5, FBXO6:11823, CHEK1:12353"
"DNA Damage Response (GO:0006974)",0.0207437865431563,0.227969025657606,0.820205908454082,290,"HMCES:77, ANKLE1:168, MSH3:173, WRN:207, MBD4:240, ARMT1:342, MUTYH:411, ZBTB4:419, POLH:468, RNF168:526, ZBTB40:581, PRKDC:671, ATR:684, TAOK3:701, RNF169:712, SHLD2:862, PPP4R3B:872, SHLD1:895, POLI:923, BRCA1:932, TOPORS:934, TIGAR:942, NFAT5:943, PRKCD:1018, RAD51AP1:1065, MSH6:1085, UBA7:1119, PARP2:1134, APLF:1174, PNKP:1188, TP53BP1:1206, POLQ:1215, RFC2:1299, ATRIP:1320, ETAA1:1329, USP45:1467, ZC3H12A:1585, UVRAG:1597, IER3:1616, USP10:1650, RBBP8:1674, ABL1:1762, BCL3:1786, MCM9:1802, TNFRSF1B:1852, MAPT:1875, DDIT3:1965, ATM:2005, RAD51D:2078, SLX1A:2086, FBH1:2202, FLYWCH1:2273, MACROD2:2296, RAD17:2410, XPC:2470, FNIP2:2526, INSL6:2527, FANCC:2578, SPRTN:2612, USP47:2632, WDR76:2653, ZBTB38:2706, CCDC13:2727, STXBP4:2771, IKBKE:2796, FANCA:2855, UBR5:2862, SIRT1:2866, BAK1:2894, BARD1:2941, SLX4:2984, MCM7:3082, BACH1:3093, STK11:3139, ALKBH8:3143, HROB:3149, MAD2L2:3174, FANCF:3232, RAD51B:3241, SPIDR:3268, RMI2:3321, TOPBP1:3323, XRCC5:3401, RAD50:3406, APC:3412, TRAIP:3439, NOP53:3487, MUS81:3497, MORC2:3501, TNFSF13B:3519, NSMCE1:3520, RNF8:3608, FANCG:3615, MAPK14:7610.5, PARP1:7610.5, MSH2:7610.5, NFATC2:7610.5, VAV3:7610.5, CTLA4:7610.5, ATRX:7610.5, RRM1:7610.5, POLA1:7610.5, POLD1:7610.5, RRM2B:7610.5, ENDOG:7610.5, REXO4:7610.5, TREX1:7610.5, TOP2A:7610.5, ERCC3:7610.5, USP28:7610.5, HUS1:7610.5, HINFP:7610.5, ERCC4:7610.5, CEP63:7610.5, RAD9A:7610.5, DOT1L:7610.5, H2AX:7610.5, E2F1:7610.5, CHEK2:7610.5, CRADD:7610.5, CIDEB:7610.5, RECQL:7610.5, MAPK15:7610.5, WDHD1:7610.5, MAPK12:7610.5, EID3:7610.5, DEPDC1B:7610.5, ADPRS:7610.5, EPHA2:7610.5, TP53:7610.5, SMARCAL1:7610.5, TRRAP:7610.5, MRNIP:7610.5, CDKN2AIP:7610.5, APBB1:7610.5, SUSD6:7610.5, ZRANB3:7610.5, PLK3:7610.5, GADD45A:7610.5, XRCC3:7610.5, XRCC2:7610.5, CSNK1E:7610.5, MASTL:7610.5, TP73:7610.5, FAM111A:7610.5, SETX:7610.5, PSME4:7610.5, TDP1:7610.5, RAD18:7610.5, SPDYA:7610.5, MMS19:7610.5, WDR48:7610.5, DCUN1D5:7610.5, XPA:7610.5, ZBTB1:7610.5, SMC6:7610.5, ALKBH7:7610.5, SMC5:7610.5, ALKBH3:7610.5, KAT5:7610.5, ALKBH1:7610.5, NKX3-1:7610.5, SHPRH:7610.5, NCOA6:7610.5, GNL1:7610.5, SIRT4:7610.5, RAD51C:7610.5, CENPS:7610.5, BABAM2:7610.5, HLTF:7610.5, PARP4:7610.5, SLF2:7610.5, MGMT:7610.5, SLF1:7610.5, CHD1L:7610.5, RPA1:7610.5, GTF2H3:7610.5, KIN:7610.5, DDB2:7610.5, RFWD3:7610.5, TAOK2:7610.5, TTC5:7610.5, APEX1:7610.5, TRIP12:7610.5, TAOK1:7610.5, TIMELESS:7610.5, PWWP3A:7610.5, CDKN1A:7610.5, OGG1:7610.5, SMG1:7610.5, PHF1:7610.5, SPINDOC:7610.5, NUDT1:7610.5, UNG:7610.5, ING2:7610.5, RECQL5:7610.5, RECQL4:7610.5, ASH2L:7610.5, BID:7610.5, LIG1:7610.5, PPP4R3C:7610.5, HIC1:7610.5, UBE2T:7610.5, POLE2:7610.5, POLE3:7610.5, MRE11:7610.5, YAP1:7610.5, CIB1:7610.5, NPAS2:7610.5, TANK:7610.5, YY1:7610.5, RBBP6:7610.5, MACROD1:7610.5, ZNF668:7610.5, KMT5C:7610.5, KMT5B:7610.5, FANCL:7610.5, FBXO31:7610.5, RAD9B:7610.5, BLM:7610.5, HTRA2:7610.5, PSEN1:7610.5, PDS5A:7610.5, VCPIP1:7610.5, HELB:7610.5, NIPBL:7610.5, NEK4:7610.5, MAP2K6:7610.5, MEN1:7610.5, RFC4:7610.5, RFC5:7610.5, CBX1:7610.5, TICRR:7610.5, CUL4B:7610.5, NSMCE4A:7610.5, BCL6:7610.5, IRF3:7610.5, CDK3:7610.5, CDK1:7610.5, IRF7:7610.5, BCL2A1:7610.5, MCM10:7610.5, FBXO45:7610.5, CASP9:7610.5, NAE1:7610.5, WNT1:7610.5, PIDD1:7610.5, NSMCE3:7610.5, DDX11:7610.5, MTOR:7610.5, TAF1:7610.5, RAD51:7610.5, ERCC8:7610.5, CRY1:7610.5, NRDE2:7610.5, USP16:7610.5, MCM8:7610.5, BRAT1:7610.5, SAMHD1:7610.5, CHCHD6:7610.5, ENDOV:7610.5, HPF1:7610.5, SUMO1:7610.5, FBXO5:7610.5, MTREX:7610.5, UBQLN4:7610.5, TRIM28:11586, PAXX:11612, TENT4A:11659, MLST8:11664, BATF:11694, SIRT7:11697, FOXO1:11732, PDS5B:11798, FBXO6:11823, PML:11849, RBBP5:12026, HDGFL2:12068, MACROH2A1:12069, VRK1:12205, RTEL1:12274, SMC1A:12352, CHEK1:12353, CHRNA4:12399, MYC:12411, CASP2:12427, XIAP:12449, HERC2:12624, RPTOR:12710, EP400:12728"
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",-0.107269362557289,0.0495996223430978,0.679125737674931,28,"CASP2:308, RPS6KA6:419, PAXIP1:528, PML:886, BATF:1041, ATRX:5124.5, CHEK2:5124.5, NBN:5124.5, CRADD:5124.5, TP53:5124.5, PLK3:5124.5, KAT5:5124.5, CDKN1A:5124.5, PIDD1:5124.5, PLK2:5124.5, HIPK2:5124.5, MDM4:5124.5, MDM2:5124.5, CDKN1B:5124.5, TRIAP1:5124.5, FOXM1:5124.5, MYO6:5124.5, SESN2:5124.5, E2F7:5124.5, GTSE1:5124.5, ATM:10730, BCL3:10949, USP10:11085"
