"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"PYGM",0.714953124112137,-1.74384532599957,0.213972439047316,1,0.0811860644247876,0.830568549885833,1,0.333221510765744,0.932606491139769,"Insectivore",1
"BCL3",-0.362368736708844,2.51711624680782,0.754352035830534,1,0.0118319784027962,0.450637864273873,1,0.125299695228781,0.716264095799486,"Insectivore",1
"PRLH",0.0333373663232044,-0.957874202312522,-0.619645429899224,1,0.338126196483757,0.535491250173939,1,0.659053520660049,0.778146992748429,"Insectivore",1
"FSTL3",0.638621191966067,0.756691862135246,1.44187332756142,1,0.449234491393226,0.14933811189636,1,0.744135160642542,0.431422426185216,"Vertivore",2
"EPHA8",0.774372077089396,0.561720417731158,0.498140987951105,1,0.574306520937635,0.61838467261075,1,0.823435152399657,0.826921832236633,"Both",3
"TRIP13",-0.25253020578825,-0.614783757797436,-0.748650138881386,1,0.538697537087517,0.45406810360016,1,0.799927352125469,0.718727944479276,"Unclear",0
"VASH1",1.74482442082909,-0.393658520282855,1.20166588782031,0.486092619155892,0.693833169576962,0.229493002625801,1,0.881927685513878,0.520381671169508,"DoubleBoth",4
"KRT14",1.85187222221382,-2.05556544967558,1.13805261875987,0.384265041646319,0.0398244209494985,0.255098511203088,1,0.234988729221122,0.54854896258705,"Insectivore",1
"KRT20",0.0375346162077189,-3.08067786918824,-1.7665667023572,1,0.00206529956899155,0.0773008215446899,1,0.0501144322062635,0.317250809844078,"Insectivore",1
"HSD17B10",-0.551247966762105,2.01280147617218,0.488205722606983,1,0.044135518571232,0.625404131538752,1,0.247718524493564,0.830599884343706,"Insectivore",1
"FGF4",-0.190395274327868,0.849218717038071,0.675836930290998,1,0.395759600173924,0.499144184593367,1,0.70446599596081,0.75338001040254,"Unclear",0
"ST6GAL1",-0.0045388143644137,1.21789185544278,0.703304451845284,1,0.223265071643971,0.48186603692181,1,0.548359957012757,0.739870348853005,"Insectivore",1
