,X.1,X,FaName,Zoonomia,CommonName,scientific,phenotype,Binomial,BinomialPretty,PantheriaMaturity,pantheriaMaxAge,pantheriaBodysize,lifeHistoriesMaturity,lifeHistoryMaxAge,lifeHistoryBodysize,anAgeMaturity,anAgeMaxAge,anAgeBodysize,combinedMaturity,combinedBodysize,MaximumAge,MaturityPercentage,elifeLongevity,L3,ELL,logCombinedMaturity,arcsignPercentage
83,83,83,HLlycPic1,vs_HLlycPic3,African Hunting Dog ,lycaon_pictus,Carnivore,lycaon_pictus,Lycaon pictus,817.15,NA,21999.99,757.5,6120,27133.33,639,6205,26500,639,26500,6205,0.102981467,NA,NA,NA,3.34084055,0.163925547
84,84,84,musFur1,vs_HLmusFur2,Ferret,mustela_putorius_furo,Carnivore,mustela_putorius,Mustela putorius,308.5,NA,975.55,300,5040,588.67,312,4051.5,809,312,809,4051.5,0.077008515,4051.5,-0.72674359,-0.153299244,3.604009932,0.170177429
85,85,85,HLenhLut1,NA,NA,NA,NA,NA_NA,NA NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29666519,0.170343156
86,86,86,HLailFul1,vs_HLailFul2,Red Panda ,ailurus_fulgens,Omnivore,ailurus_fulgens,Ailurus fulgens,604.05,1440,5170.08,585.3,6300,4325,550,6935,4325,550,4325,6935,0.079307859,NA,NA,NA,3.486996888,0.19183705
87,87,87,ailMel1,vs_HLailMel2,Panda,ailuropoda_melanoleuca,Omnivore,ailuropoda_melanoleuca,Ailuropoda melanoleuca,2413.02,5400,117999.99,2317.8,12240,111600,2192,13432,117500,2192,117500,13432,0.163192376,13432,1.218848079,-0.143757506,2.482873584,0.339643188
88,88,88,ursMar1,vs_ursMar1,Polar Bear,ursus_maritimus,Carnivore,ursus_maritimus,Ursus maritimus,1850.26,NA,371703.81,1656.6,16200,286366.67,1734,15987,475000,1734,475000,15987,0.108463126,NA,NA,NA,3.465382851,0.339836909
89,89,89,odoRosDiv1,vs_HLodoRos1,Pacific walrus,odobenus_rosmarus_divergens,Piscivore,odobenus_rosmarus,Odobenus rosmarus,2315.02,5940,1042996.25,1564.2,14400,650000,1745,NA,1012500,1745,1012500,14400,0.121180556,NA,NA,NA,NA,
90,90,90,lepWed1,vs_lepWed1,Weddell seal,leptonychotes_weddellii,Piscivore,leptonychotes_weddellii,Leptonychotes weddellii,1587.55,NA,4e+05,1455.3,9000,421666.67,1365,NA,425000,1365,425000,9000,0.151666667,10950,1.302204641,-0.560378219,NA,
91,91,91,neoSch1,vs_neoSch1,Hawaiian Monk Seal,neomonachus_schauinslandi,Piscivore,neomonachus_schauinslandi,Neomonachus schauinslandi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
92,92,92,manPen1,vs_HLmanPen2,Chinese pangolin,manis_pentadactyla,Insectivore,manis_pentadactyla,Manis pentadactyla,755.15,14400,4675,NA,NA,2350,755,NA,2350,755,2350,14400,0.052430556,NA,NA,NA,NA,
93,93,93,HLmanJav1,vs_HLmanJav2,Sunda pangolin,manis_javanica,Insectivore,manis_javanica,Manis javanica,755.15,16920,4861.71,NA,NA,5150,NA,NA,NA,5150,4861.71,16920,0.304373522,NA,NA,NA,2.877946952,
94,94,94,pteAle1,vs_pteAle1,Black flying-fox,pteropus_alecto,Herbivore,pteropus_alecto,Pteropus alecto,NA,NA,NA,NA,NA,NA,NA,7409.5,672.1,NA,672.1,7409.5,NA,7190.5,-0.294891036,0.350650394,NA,
95,95,95,HLpteVam2,vs_HLpteVam2,Megabat,pteropus_vampyrus,Herbivore,pteropus_vampyrus,Pteropus vampyrus,NA,NA,NA,NA,NA,NA,NA,7628.5,872,NA,872,7628.5,NA,NA,NA,NA,NA,
96,96,96,rouAeg1,vs_HLrouAeg4,Rousette Fruit Bats,rousettus_aegyptiacus,Herbivore,rousettus_aegyptiacus,Rousettus aegyptiacus,315.68,NA,134,NA,NA,NA,365,8358.5,125,365,125,8358.5,0.043668122,NA,NA,NA,NA,
97,97,97,HLrhiSin1,vs_HLrhiSin1,Horseshoe Bats,rhinolophus_sinicus,Insectivore,rhinolophus_sinicus,Rhinolophus sinicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
98,98,98,HLhipArm1,vs_HLhipArm1,Old World Leaf-nosed Bats,hipposideros_armiger,Insectivore,hipposideros_armiger,Hipposideros armiger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
99,99,99,eptFus1,vs_eptFus1,Big brown bat,eptesicus_fuscus,Insectivore,eptesicus_fuscus,Eptesicus fuscus,395.29,NA,17.49,NA,NA,NA,547,6935,23,547,23,6935,0.07887527,6935,-0.980635609,0.977377076,NA,
