,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
MYBL2,-0.912857466920353,0.361317509687788,0.67596901137227
R3HDML,-0.0182121971807505,0.985469572307657,0.995090779913159
PABPC1L,-0.522775607186102,0.60113041634638,0.837737332865487
SALL4,2.32101128112971,0.0202862350066501,0.166490928214072
CSTF1,-0.984118547058586,0.325057228627253,0.648232931253719
TPD52L2,-1.15114935451568,0.249670796531663,0.574845730253087
CTSZ,-0.316347590649126,0.751738692315519,0.906813203269147
TUBB1,0.0799455007390423,0.936280601258609,0.977346067906343
SLCO4A1,0.453085645730065,0.65048707111726,0.862474023373388
UBOX5,3.83221694209115,0.000126993675735415,0.0118301177585939
EEF1A2,-1.55475147094712,0.120005270960166,0.403728816312439
SRMS,-0.95968700891029,0.337212763472416,0.658692960299217
C20orf27,0.268841068204529,0.78805198849155,0.923076649910358
SLC52A3,0.153814159960195,0.87775626867225,0.959284304019716
RSPO4,2.36962409850374,0.0178061783711865,0.155506651518622
PROKR2,1.55004480480942,0.12113076241672,0.405998454924032
FERMT1,-1.25224783406669,0.210479570873306,0.533219361357221
TLDC2,-0.227164974201808,0.820295462277223,0.93564249717431
SNTA1,0.546352886019763,0.584823389263268,0.829271482509693
OXT,-0.180907350420955,0.856440299249602,0.950330266389413
CHMP4B,-0.764087165458531,0.444815300195197,0.741068602706024
LBP,1.42312890477376,0.154698790550801,0.454506560818912
SLC32A1,-1.60364231378791,0.108792918080947,0.387565804214082
AHCY,0.414893241508603,0.678220057612314,0.874824937481181
ACOT8,1.60856052279008,0.107712472212921,0.385410918785705
APMAP,-2.09929920809136,0.0357905332007752,0.223728790069944
RNF125,0.770507896014097,0.440998673014847,0.738413729874797
IDH3G,-0.954371909020511,0.339895420311337,0.660833017611427
SLC25A43,0.190744900264834,0.848725459145781,0.948104132825221
MXRA5,-2.40568840671659,0.0161420260684619,0.147782670197352
VSIG1,-0.574419330441872,0.565684075120019,0.818603086654798
PSMD10,-0.153846695069148,0.877730614748598,0.959284304019716
PGRMC1,-0.129823997587931,0.896705676259683,0.967324789360891
NXT2,0.0734309127036146,0.94146321920801,0.978779988343364
GUCY2F,-0.641196355322465,0.521395117316006,0.790906051947792
ATP1B4,0.564504335483375,0.572410950432215,0.822244691204872
TLR8,-2.51786123988739,0.0118069825752316,0.125299695228781
GLRA2,-0.96675345610862,0.333667297044999,0.65596279172861
STAG2,-0.154037079962209,0.877580498892559,0.959284304019716
F9,-0.0664247344189648,0.947039678467669,0.980973943870226
