"gmtNames","gmtOverlap"
"REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION",""
"REACTOME_GAP_JUNCTION_ASSEMBLY",""
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE",""
"REACTOME_GAP_JUNCTION_DEGRADATION",""
"REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM",""
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI",""
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","IC"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS",""
"REACTOME_SNRNP_ASSEMBLY",""
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS",""
"REACTOME_DIGESTION_OF_DIETARY_LIPID",""
"REACTOME_ANDROGEN_BIOSYNTHESIS",""
"REACTOME_ESTROGEN_BIOSYNTHESIS",""
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL","IC"
"REACTOME_P75NTR_SIGNALS_VIA_NF_KB",""
"REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK","V"
"REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1",""
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR",""
"REACTOME_P75NTR_REGULATES_AXONOGENESIS",""
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING","V"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL","C"
"REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_27_HYDROXYCHOLESTEROL",""
"REACTOME_MINERALOCORTICOID_BIOSYNTHESIS",""
"REACTOME_GLUCOCORTICOID_BIOSYNTHESIS","C"
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM","IC"
"REACTOME_SIGNALING_BY_VEGF",""
"REACTOME_VEGF_LIGAND_RECEPTOR_INTERACTIONS",""
"REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX",""
"REACTOME_RHO_GTPASE_EFFECTORS",""
"REACTOME_SIGNALING_BY_WNT","IC"
"REACTOME_METABOLISM_OF_STEROID_HORMONES","VC"
"REACTOME_PREGNENOLONE_BIOSYNTHESIS",""
"REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE",""
"REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING",""
"REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING",""
"REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM","I"
"REACTOME_METABOLISM_OF_FOLATE_AND_PTERINES",""
