"gmtNames","gmtDriver"
"REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS","Both"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES","Unclear"
"REACTOME_MTOR_SIGNALLING","Unclear"
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE","Carnivore"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE","Carnivore"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE","Unclear"
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE","Unclear"
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS","Herbivore"
"REACTOME_GLYCOSPHINGOLIPID_METABOLISM","Both"
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE","Unclear"
"REACTOME_MITOCHONDRIAL_UNCOUPLING","Unclear"
"REACTOME_MTORC1_MEDIATED_SIGNALLING","Unclear"
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES","Unclear"
"REACTOME_SIGNALING_BY_NTRKS","Carnivore"
"REACTOME_COMPLEMENT_CASCADE","Both"
"REACTOME_LECTIN_PATHWAY_OF_COMPLEMENT_ACTIVATION","Unclear"
"REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT","Both"
"REACTOME_TERMINAL_PATHWAY_OF_COMPLEMENT","Unclear"
"REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS","Both"
"REACTOME_SIGNALLING_TO_RAS","Unclear"
"REACTOME_HIV_TRANSCRIPTION_INITIATION","Unclear"
"REACTOME_HIV_TRANSCRIPTION_ELONGATION","Unclear"
"REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME","Unclear"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT","Unclear"
"REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY","Unclear"
"REACTOME_NEF_MEDIATED_CD4_DOWN_REGULATION","Both"
"REACTOME_THE_FATTY_ACID_CYCLING_MODEL","Unclear"
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR","Both"
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE","Herbivore"
