"","CH-Rho","CH-P","CH-p.adj","CH-significant","CO-Rho","CO-P","CO-p.adj","CO-significant","HO-Rho","HO-P","HO-p.adj","HO-significant","CH-CO-Overlap","CH-HO-Overlap","CO-HO-Overlap","CH-CO-HO-Overlap","CH-CO-Delta","CH-HO-Delta","CO-HO-Delta"
"APBB3",-1.53454109981687,0.374689770675075,0.93322825694844,FALSE,-0.209255582968047,1,1,FALSE,1.2179945269529,0.669678157721002,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.937118375972123,1.94633660714647,1.00921823117435
"C11orf54",-1.8823239129198,0.179376148918217,0.590316281021799,FALSE,-1.37058483517833,0.511513238934284,1,FALSE,0.393825751160156,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.361854172069142,1.60948086246642,1.24762669039728
"FAM78B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELP5",-0.264974663261493,1,1,FALSE,0.0324551516731977,1,1,FALSE,0.276898744431089,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.21031463906738,0.383162361124087,0.172847722056707
"LRRIQ3",-3.37327582003932,0.00222838514597442,0.0321329735934785,TRUE,-3.56584521070336,0.00108805620599523,0.0340428682919252,TRUE,-0.50887546068707,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,0.136167121987502,2.02543691813116,2.16160404011866
"ATG7",-2.34593714438331,0.0569379235040984,0.287102402400379,FALSE,1.47364000239892,0.421735634534452,1,FALSE,3.64606093138578,0.000798872581055623,0.0920155677017431,FALSE,FALSE,FALSE,FALSE,FALSE,2.70084890175488,4.23698247223307,1.53613357047819
"IPO4",0.500756563214056,1,1,FALSE,-0.299915626321945,1,1,FALSE,-0.754383930452822,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.566160734728387,0.887518354413681,0.321357619685293
"WDR91",1.64741327600478,0.298419385187359,0.806109648283864,FALSE,2.08304270185382,0.111741994224901,0.546841002826006,FALSE,0.560352556549195,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.308036521102258,0.768668006288568,1.07670452739083
"DDRGK1",0.00373933382749325,1,1,FALSE,-0.297630201122906,1,1,FALSE,-0.303657538482016,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.213100441806463,0.217362412925589,0.00426197111912573
"MAK",-0.468884300223751,1,1,FALSE,0.926167371603476,1,1,FALSE,1.35181362690754,0.529304831264508,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.986450497254662,1.28742785076683,0.300977353512164
