,Rho,N,P,p.adj
GJA4,0.0520830916745089,246,0.00518457636759799,0.0399330646278812
KCNJ14,0.0666203404512143,252,0.000806254152462661,0.0122326485829034
RBPJ,NA,NA,NA,NA
POU2F2,0.00715111846378056,215,0.675285933135316,0.78200570530777
TMEM230,NA,NA,NA,NA
LMX1A,0.026749577157172,196,0.156635588488187,0.32466876662709
ASCL4,0.0420477724989468,273,0.00958303396894669,0.0586034322883857
PDE8B,0.0195270231928674,278,0.144184780356385,0.308596659501596
ATP13A5,0.0340170531628831,350,0.00783492319364549,0.051711907324124
ASTL,0.013772227681382,322,0.219456650420778,0.398779099149497
BIRC7,0.00961700915285264,280,0.44309913390232,0.609667726477454
SNRNP48,0.0125557122443964,264,0.347343194150653,0.527269492231184
RAB5IF,0.0115265502230341,227,0.456613595166689,0.620262727908067
BRWD1,0.00766533891424488,353,0.440533391574291,0.607509087796114
TMPPE,0.0153340816727359,297,0.208847669612693,0.386610051354924
PODXL2,0.0505883255664267,305,0.00151991439240688,0.0180637774323281
ZNF79,0.0114516845095886,201,0.51437462731092,0.664891144414451
C2orf66,0.00716065855020949,239,0.635992283585265,0.752971662341572
AGMO,0.0262420078728375,322,0.0380207983107962,0.136850712652254
ZBTB42,0.0405077277564684,273,0.0116283931098235,0.0661263132287242
ZNF207,0.0259580666368606,195,0.169189697183104,0.340124180134656
TMTC4,0.000407822964830343,338,0.986994253746568,0.990787780047859
FOXM1,0.0202105945706554,322,0.090152780192827,0.232470832704564
THEG,0.000842082596927318,291,0.970156229425238,0.978924112561126
TCAIM,0.0138236233314689,298,0.250283024872144,0.433058029312667
SOX12,NA,NA,NA,NA
SNRPD2,NA,NA,NA,NA
MAP2K3,0.0101684204340596,187,0.59526573182352,0.725046351902965
