,Rho,N,P,p.adj
BLCAP,0.0347329600995286,32,0.782696304783054,0.855329566266187
DPY19L4,0.023295806211021,296,0.0760825772445622,0.207108161279339
TMEM219,0.00310840818584508,275,0.837064295069629,0.892060105215876
CLGN,0.0217739242169646,335,0.0637015119036527,0.186222332190651
ARTN,0.0483676537826296,231,0.0110710500741367,0.0630013409381693
FAHD2B,0.0369168841981119,285,0.0148671285855495,0.0759119018700389
NUSAP1,0.0405955380077363,327,0.0041566656730343,0.0335383612247352
PNPLA6,0.0294767497600462,326,0.0224959273372629,0.0982868983094578
TMEM251,NA,NA,NA,NA
RDH13,0.00656255664844625,277,0.612486481280183,0.738164869730833
SS18,NA,NA,NA,NA
DDOST,0.0103788814089201,292,0.388512862336857,0.557650420667896
CD44,0.0155664165015759,367,0.127302278872763,0.281800093580408
PRKD1,0.00902171713548505,298,0.443730857294758,0.605248175299945
ASRGL1,0.0254470069633933,267,0.0796399658039071,0.213116723428028
TAC3,0.0144361602192841,284,0.252385422820724,0.429469247711709
ERBB3,0.00424866795450027,322,0.714036431130056,0.808747081947028
CCDC153,0.0190925976957512,250,0.190717927176242,0.361340769490601
SCARB1,0.0172326253300854,305,0.155128674409226,0.319097522328476
MAP2K4,NA,NA,NA,NA
SLC14A1,0.0129964429554205,336,0.225706829834289,0.40111939525255
FBP1,0.0102740457528896,278,0.415997860150766,0.581613083320394
PTPN12,0.0242051137794914,319,0.0527016485395461,0.165901248923261
CSTF2,0.0567261621870079,250,0.00274008902260424,0.0257523772743838
IGFALS,0.0148026241631649,337,0.173734473209728,0.341649753006862
SAPCD1,0.024350486767641,224,0.142876099879661,0.302010657047538
CACNA2D3,0.00560339360580331,257,0.69747532245389,0.798714690502383
TRIM24,0.00707362250308225,274,0.586829795876303,0.718527888784583
HNF4A,0.00793269304946097,180,0.700864595306493,0.801027247188306
FNDC3B,0.0371599264164604,323,0.00750229502629944,0.0490501122493164
IFI35,0.0193687332157982,339,0.0878414901772037,0.22632265507588
THAP5,0.022460624770487,276,0.103324084663333,0.249395917016151
ZNF322,0.027597379166086,243,0.082880159226044,0.218278497256782
GPI,0.00374927088680029,307,0.765675224445434,0.84325795586619
SCN1B,0.0244026555498738,233,0.129296657075345,0.284281520496987
MTO1,0.0292825770813705,323,0.0240989130864471,0.102990764450743
BAHD1,0.00520702149377636,329,0.63517819840175,0.754074231154392
SMIM13,NA,NA,NA,NA
E2F5,0.00804358759282309,257,0.560219375813544,0.69671178690074
PHTF2,0.0219260714236963,272,0.114468128782253,0.264612519713434
TMEM130,0.0412784085531172,296,0.00680037366844634,0.0460414010656019
SMCO2,0.00892262126596996,264,0.503643073079249,0.652554266851976
XKR6,0.0362650947407885,223,0.044972375678177,0.149795206206259
OCM,0.0571801328375682,77,0.226474316911763,0.401945858799691
NOP14,0.0289895114136793,359,0.0156099906149337,0.0785010157549763
IQCD,0.00563494071440029,320,0.615469080133006,0.740538475922997
UNC5D,0.00255799780636264,266,0.878396523896955,0.919006568585814
AOC1,0.00700992807938387,315,0.531728308459076,0.676177465323872
TBXAS1,0.0161154212406768,336,0.144826707549976,0.305092419140419
SLC25A19,0.0110046772446202,310,0.333905416633141,0.509383927822035
ZNF740,NA,NA,NA,NA
CCL24,0.0247949889497166,255,0.0979816344472985,0.242121959767589
ERG,0.00346114511483637,209,0.868509290786441,0.913176578598899
GGTLC2,0.0629172899193255,181,0.0100917122615888,0.0593685076668678
PDZK1,0.0298695844224238,327,0.0209346228445339,0.0948971322059661
RBM18,0.0594039167902802,65,0.283670939637488,0.460418060015592
RGS21,0.00797517533085671,236,0.598930019706526,0.727051731547622
FRMD5,NA,NA,NA,NA
SCAF8,0.0112527003274177,321,0.307914070513391,0.484460979602173
KBTBD8,0.0024670736438203,233,0.902729477359889,0.933970433795062
AASS,0.0132134929588378,326,0.231380390315221,0.406507622403342
ALKBH8,0.0865330247697145,330,2.89472112599453e-06,0.000285931946898068
GP6,0.00780571518282782,203,0.664671998127847,0.774435318453096
CSF2RA,NA,NA,NA,NA
FSHB,0.00306934869102275,240,0.865279935481481,0.911480571898239
TEX50,0.0142849016358974,291,0.246469716615104,0.423152177004839
CLEC17A,0.0256757296991803,257,0.0868281018055499,0.224701720710804
IFRD2,0.012536799644296,330,0.248319378603276,0.425180027815941
NECAB1,0.0648363037580541,184,0.00786005633730972,0.0504667715940458
IK,NA,NA,NA,NA
MPPED1,NA,NA,NA,NA
SATB1,0.0266558699186856,217,0.124014220623882,0.277539593090913
CRYZ,0.0820605102734066,293,2.5444521234231e-05,0.00121958510138762
CCDC103,0.0524281902760871,322,0.000766175220807491,0.0113003622343736
KLC2,0.0173544468728812,253,0.223871972329838,0.398989482993974
ARHGAP22,0.0149402541192539,322,0.187373334760765,0.357459321527812
ARPP21,0.0297770340059325,320,0.0233433438165159,0.100811739293127
ZBTB7B,0.0781287031830292,296,3.94639211098467e-05,0.0015937101179692
SLC9A8,0.0176740744540067,237,0.2435731631854,0.419707222136653
BPGM,0.0273918977158391,239,0.0889055680588431,0.227779617850022
HLA-DMB,0.00875698299029508,332,0.407530882622065,0.575233559240317
LAMB2,0.0221270964415055,368,0.0435830543041183,0.147250198273725
RHOA,NA,NA,NA,NA
PPP1R13L,0.0281691731613115,302,0.0370844616150594,0.133564361751799
LIMK1,0.0060175783717421,282,0.638950022538242,0.756122095068621
OR6V1,0.0567292289236914,219,0.0062261873399075,0.043571389527098
TMEM250,NA,NA,NA,NA
ELOA,0.0138404350782609,329,0.208779631737194,0.381757277844407
MYH13,0.108675416307552,303,3.51493153104736e-07,8.28786839554538e-05
LETMD1,0.048112797675768,310,0.00193403946202217,0.0204815483306812
GNL3,0.0217854813912683,356,0.0518447980058836,0.164031621102628
TMEM253,0.0155945108379524,303,0.194343969020928,0.365416653777099
SLAIN1,0.0523053026587294,235,0.00660636717734466,0.045214645021349
WDR83,0.00975020182552325,254,0.481320762898277,0.635155943396621
FAM126B,0.012737383885882,245,0.375283228828183,0.546809887321136
BCAR1,0.00999399925036548,317,0.367885169248483,0.540785649999354
CNTN4,0.0773947163329271,309,2.70083587970892e-05,0.001257436933932
SP8,NA,NA,NA,NA
ZBTB22,0.00307022703708259,299,0.821824009117073,0.88197365946869
FAM135A,0.0224050013011097,346,0.0519405302461232,0.164165369484571
GCG,0.0130516118483086,214,0.426803970442594,0.591024651311952
PRR12,0.0266147902374777,249,0.0857833988026414,0.222984976368388
COLEC11,0.0460119554932995,235,0.0130560974227476,0.0699510916857068
SWI5,0.0543454002939945,247,0.00390297846590743,0.0322541787411536
PSMA1,NA,NA,NA,NA
L3MBTL1,0.00791351561375533,349,0.431144553681138,0.594365543641797
PTRH1,0.0322637287360207,292,0.0245448610065421,0.103889509929822
PSMG4,0.0126159485722351,181,0.518124256383728,0.664659398391867
RCOR3,0.0442068270444197,174,0.0538804669213447,0.167912714969759
BRAP,0.0114693241359001,267,0.383852843458575,0.554035538785626
DUSP22,0.0128452343782462,230,0.400723724389178,0.569197447225553
SEMA3C,0.00419285448505958,290,0.750191184747706,0.833298756160377
HLA-DPA1,0.00144013699963948,211,0.959571048900525,0.971899664565927
PABPN1L,0.00267999007154032,241,0.886475891649753,0.923691451178028
FOXA2,0.0114581515801741,228,0.457314189304599,0.615972867242268
PCYT1A,0.00564221267672231,246,0.709679009777314,0.80662396547462
PDCD5,NA,NA,NA,NA
HTATIP2,0.0269798946939271,304,0.0425318630938924,0.145104622303294
PGGT1B,0.00755128265696286,199,0.683389243287815,0.788825804466542
SFTPA1,0.0309300294318197,302,0.0254416679135503,0.105729872363313
ZFHX2,0.0369501392314897,330,0.00686553484127822,0.0463590087042246
SMYD1,0.0220973528208618,269,0.115462828634741,0.266150174770256
RASGRF1,0.0388584570542171,275,0.013794781723862,0.072646222630093
BECN2,0.0252096144959475,239,0.111615662099934,0.260951139877607
STK3,NA,NA,NA,NA
