,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
NSMF,0.860262045893373,0.389644609520941,0.758118879758009
CDC5L,-0.214595117661197,0.830083000802948,0.952628455335105
FFAR4,1.40826332414429,0.159053111462639,0.556271995435888
CEP55,0.759862208056313,0.44733695360718,0.794650682332672
TSHZ2,-1.38735648536802,0.165333086927877,0.564253299379874
TCTE1,-0.55744255726958,0.577225095680877,0.858734558567573
ENTPD8,0.086028221070926,0.931443983212387,0.981099608040238
SCP2,0.476058462959821,0.634032727955026,0.883576409521981
NDOR1,0.468241887147551,0.63961162089125,0.88635780097341
ECHDC2,-0.729842132857082,0.465486687213951,0.806450652470685
ZYG11A,-1.08182921368269,0.279328423052661,0.679525294457794
COA7,-2.89033931637923,0.00384826206393928,0.133689508759196
LRRC26,0.52370242979768,0.600485525368569,0.86927461791035
GRIN1,-1.28496826853563,0.198803372716001,0.60157576192018
UBE2A,-0.315033409350206,0.752736287433931,0.926396227466171
ORC1,-2.8515970891086,0.00435001996317321,0.141527340199858
KCNG1,2.0135004212784,0.0440620106960656,0.337831103824933
DPP7,-0.00064506360962698,0.999485313740837,0.999617608289313
CC2D1B,-1.89174797808782,0.0585245675367282,0.37396332541862
DPM1,0.485306059375927,0.627459257897182,0.881833761175315
MAN1B1,1.57198467372998,0.115954105654767,0.491696806984805
NPDC1,1.17030984734134,0.241876300480354,0.645725410358265
BCAS4,-1.32067527773669,0.186609660721533,0.587100023159471
PARD6B,0.27856740970225,0.780576826285071,0.936419544242279
KTI12,-2.38141764353086,0.0172461466203119,0.239332576737114
PAXX,1.12268864126318,0.261569753793029,0.665166734818683
PTPN1,-0.433950432636346,0.664324435836286,0.895559932951344
PTGDS,2.03414271500173,0.0419372083066029,0.330942606751636
TXNDC12,1.56909703024947,0.116625331672113,0.493128710752369
TNKS2,-1.49482782053348,0.134959383666929,0.520414954318609
LONRF3,0.14653901941301,0.88349588932514,0.968158479700904
LCN12,0.518850130646127,0.603865256289807,0.871256323219247
C8G,0.992831448793945,0.320792101236604,0.711756966207201
TMEM189,1.37987991437557,0.167623621846027,0.567487471125119
RAB3B,0.203191069121038,0.838985693045888,0.953571823166932
RABL6,0.814627030247672,0.415285833270973,0.774541227955641
IL13RA1,-1.00976345159602,0.312608634440367,0.706558749417954
LCN8,-0.849346692811638,0.395688406136724,0.763090110858541
DIPK1B,1.90883856047514,0.0562829208040159,0.368402255312996
AGPAT2,2.31549467942339,0.0205858754011354,0.25691298388579
ANKRD1,-0.584973990990837,0.558565205320229,0.851860119592479
EGFL7,-0.182809892263247,0.854947186512319,0.958383048926204
B4GALT5,0.167909350982402,0.866654593556548,0.962440051280611
INPP5E,2.50389782242219,0.0122833502019151,0.207078730793108
PMPCA,1.93727905770707,0.0527112408057764,0.359788740314766
KIF20B,-1.41633050631025,0.156678760067901,0.552334604357539
CARD9,-0.170111016746177,0.864922829682892,0.961703965334884
EPS15,-0.761201970083382,0.446536441728016,0.793961529814512
DNLZ,0.175065833988387,0.861027904166718,0.960694116065854
KCNB1,0.1095675377125,0.912752356764485,0.977154549123328
LHX3,0.0606286394885547,0.951654964459887,0.987530716398943
ZNFX1,0.929529304332688,0.352614845733891,0.732533455724747
UBAC1,2.74262663615759,0.00609499432127423,0.158756316145784
