,Background...Herbivore.Rho,Background...Herbivore.P,Background...Herbivore.p.adj
SPX,-0.0505510564107456,0.959683264248692,0.985976850181945
MYBPC3,-2.4035110238043,0.0162384774084521,0.136246359574776
DDB2,-1.14035157283147,0.254139859757784,0.565216865171363
FOLH1,-1.33523577285519,0.18179919212624,0.482249511029973
RAB33A,-0.196875961310752,0.843924605600405,0.942144857568288
MTNR1B,2.07515363919461,0.0379722977786134,0.213481162213693
PHC2,0.597381185810999,0.550252912047807,0.796191306670477
TUT4,-2.78530917932274,0.00534767053891625,0.0721553546286628
PRPF38A,NA,NA,NA
DSG3,-0.560689511374907,0.575009218621902,0.810102677525428
DSG1,0.723628341647182,0.469293936842387,0.742848012314041
DSC1,-0.135851570856688,0.891938621284824,0.961410588078193
DAGLA,1.62527519804938,0.104103933693496,0.360851453661427
TIMM10,NA,NA,NA
AHNAK,0.245332518144361,0.806198975103522,0.926908012154932
CBLIF,-3.39626940441785,0.000683110887243071,0.0198141491900524
TCN1,-1.785846009223,0.0741241948427983,0.303403259064022
CEP135,0.159874780954976,0.87297971484521,0.954109311545585
PDGFRA,0.306301606101941,0.759375016457883,0.904965318267198
CARS2,-2.86554832272352,0.0041628773314649,0.0625964201324354
ADAMTS8,-2.67712613306417,0.00742566743289895,0.0871924524055702
KLB,1.28309460371857,0.199458934114144,0.501521395794488
SEMA6A,0.389576169587458,0.6968499764957,0.877054788440328
APC,-0.300675648631955,0.763661839577435,0.907236176081506
ANXA1,1.34923478238222,0.177261565973409,0.475804047067524
CCNJL,-1.3729798626532,0.169758607037397,0.466350130803336
USP30,0.79231801645377,0.428175269156527,0.714880724590331
SDS,-4.89633541340792,9.76403534338767e-07,0.000268280185653226
MSI1,NA,NA,NA
TBX3,-1.0788751883042,0.280643370951698,0.592247259017184
OASL,0.113932377992977,0.909291398746453,0.966009988389142
HRK,NA,NA,NA
DTX1,0.758968922969725,0.447871147254437,0.727537403292472
TRAFD1,-3.45719275293164,0.000545834275835297,0.0171489554603389
GSAP,-1.83396904409926,0.0666585893984685,0.287730534987048
OCM2,NA,NA,NA
UPK3B,NA,NA,NA
TMEM60,NA,NA,NA
PNPLA8,-0.131370406822884,0.895482297683952,0.962670893388458
RINT1,1.02079308644784,0.307352480604627,0.613649185744104
NT5E,-0.780757003040869,0.434945427132126,0.720080553770891
MRAP2,0.162827690724466,0.870654105172244,0.95331613852296
AKIRIN2,0.974400083757186,0.329857927912835,0.634684620144992
ORC3,-0.321383969242889,0.747919429988137,0.900243602228652
LMO2,1.28781683767695,0.197809729643766,0.500391781512735
NAT10,0.972627407639543,0.330738515809319,0.635731423417759
PRRG4,-0.710979426386788,0.477096984956881,0.748457348351333
PRPH,1.9333655315047,0.0531911842613085,0.255977989608032
AVIL,0.788536323196611,0.430383060733178,0.716849296791279
AMHR2,-0.12417896481225,0.901173576961334,0.964012188234866
GDF11,NA,NA,NA
FAM186B,-0.377128324238784,0.706078242917563,0.881834704465262
RDH5,-1.03660079931686,0.299921940633941,0.608014325851743
KRT85,0.592565932841687,0.553471683778602,0.798152102437372
CDK4,1.77124466955806,0.0765200240226561,0.308597492466712
PPP1R1A,-3.11735442715515,0.00182482043049682,0.0376216730500244
TSPAN31,1.23500971371151,0.216826889006794,0.520274364349105
TFCP2,-0.556431961534979,0.577915594549759,0.811660987174568
ESPL1,-1.48768426077615,0.136834180274794,0.417576359513871
ZC3H10,0.512558555443292,0.608260150327088,0.828805305275946
KRT84,0.201847019460713,0.840036321785496,0.940646688659956
KRT82,-0.395215458420159,0.692683885217139,0.874652312282871
KCNH3,1.43662726594712,0.150823931874982,0.437600821016404
TAAR5,-2.56607902556773,0.0102855391892048,0.104811239532881
NMBR,0.581440985227766,0.56094328146118,0.802204976369585
SMPD2,0.420454688235373,0.674153324142063,0.864858982445396
HTRA2,1.00490338599753,0.314943373863917,0.621029806774923
PRADC1,-0.21278971140415,0.831490989082257,0.936954129223106
CCT7,-0.298763646001023,0.765120390998539,0.908430181392986
MRPL53,0.478308458851787,0.632430676692539,0.84134620041098
EMX1,-1.4455907271958,0.148292029025318,0.433963815381603
KCNMB4,NA,NA,NA
MDM2,0.629618566566094,0.528944173122124,0.783366408205434
BCO1,0.898124575834944,0.369119138288388,0.668873899634109
MPHOSPH6,0.452275748496969,0.651070344549713,0.849895197363955
KIAA0513,-2.12673575370615,0.0334420450414715,0.199390124369007
DYNC1LI2,3.21109614170553,0.00132229687809608,0.0306503959720748
FBXL8,-0.915775911436841,0.359784440303079,0.660825367049336
FHOD1,-0.854292303942742,0.392943050342631,0.689441005082763
CCDC102A,0.0952162115817343,0.9241430935099,0.971593652502253
PCNX2,-1.10602292238976,0.268716597993438,0.580203633215721
URB2,-0.723064019823617,0.469640553172164,0.743163145501334
TAF5L,-3.02157808233684,0.00251460776276433,0.0462296259256625
STX6,0.284883960689016,0.775733044552902,0.914515895943899
RGS8,0.987379122212743,0.323456815405017,0.628246389715118
LAMC1,0.340069336536987,0.73380431297776,0.892886325932169
MRPL44,1.22642021684237,0.220040581961919,0.524487898203238
CHRND,1.12982377988087,0.258550485939254,0.569232946316144
USP37,-2.17388859609643,0.0297135026920936,0.188673517952721
HTR2B,-0.420086813362803,0.674422035490918,0.864858982445396
WNT10A,1.10091643324757,0.270933029184266,0.582990166172951
TMBIM1,-1.04157703774646,0.297607819190369,0.60641232279391
CYP27A1,-2.32581164896241,0.0200286009280656,0.151954703601879
EIF4E2,NA,NA,NA
CAB39,NA,NA,NA
COX5B,-1.6940977638784,0.090246707183144,0.337811063711658
REV1,-2.74646630909552,0.00602410729294024,0.0772674667332641
MFSD9,-1.23886827728875,0.215394283354271,0.518853012027606
TMEM127,NA,NA,NA
MRPS9,-2.82081596616277,0.00479016744692728,0.0684853457502035
GPR45,1.34650804086332,0.17813872896089,0.476803484246718
C2orf49,-2.26305687468501,0.0236321835172768,0.165795283697297
EPC2,0.467024896759731,0.640482065651068,0.846060449220394
ALDH1L2,-2.33943527890531,0.019312917492776,0.149440250461255
USP44,-2.07779012492817,0.0377286937640473,0.212747588261259
PLXNC1,0.0233400725636153,0.981379007127691,0.993541874168531
DRAM1,-0.915966725691748,0.359684347380681,0.660825367049336
SLC41A2,-1.73429487914706,0.082865775625368,0.323750672505316
CKAP2,0.543056366059974,0.587090994059292,0.816925123016325
THSD1,0.887049902800791,0.37505203401042,0.675087309341397
MED4,0.0206210004167327,0.983547988117039,0.993828459408981
NUDT15,1.55180908258751,0.120707912067534,0.391680095524354
CHST12,0,1,1
IGF2BP3,1.07530378472735,0.282238742299021,0.59342001929259
KDELR2,NA,NA,NA
NUP42,-0.96605304198742,0.334017640084711,0.638268595820083
DDX56,2.55400469225172,0.0106491821426974,0.106859522271211
HUS1,-0.264489602042604,0.791402675999527,0.92151566603058
MYO1G,3.05350023561996,0.0022618854422182,0.0427270160035018
TTYH3,1.20096372643615,0.229765272373163,0.535497035325609
CIDEB,-0.744691193623968,0.456458424099564,0.733205750955847
TTC5,-0.175653456489368,0.860566202994968,0.949638892207278
NKX2-8,-1.56241696559048,0.118189792936974,0.386765732105577
ACSBG1,1.36808916780132,0.171284166927798,0.468800428248643
MTHFS,0.0965245373121541,0.923103986953294,0.971106679487516
ABHD17C,NA,NA,NA
IREB2,2.95543320012908,0.00312230302528992,0.0525437007997564
ALPK3,3.5522318388917,0.00038197814342292,0.0134243109381562
CIB2,NA,NA,NA
RSAD1,0.705782625223991,0.480323328684453,0.750616760230871
CHAD,2.82859286611998,0.00467531344312724,0.0672549702745274
TACO1,-1.17649949581811,0.239395333778093,0.547893727707791
TEX2,1.06906241013951,0.285041548241082,0.595293899842825
LIMD2,1.0359319916556,0.300233871364107,0.608014325851743
BRIP1,-1.73878181240056,0.0820731489344836,0.321952046524366
KAT7,NA,NA,NA
NDUFB5,-1.59942310022681,0.109726622884421,0.372133261080037
MARCHF7,-1.40510085105637,0.159991291089648,0.45124656040429
CD302,-0.0546674063795717,0.95640343645702,0.984087847998058
GALNT5,-0.921326792376135,0.356879837080529,0.658426089361611
TANK,0.667640835962323,0.504362884376762,0.766948270145062
BLK,-0.080427893812661,0.935896942705794,0.975360508929812
SKIL,0.260055018285543,0.79482133462457,0.922893234307838
KCTD3,1.22947241972261,0.218894732385592,0.522911349322015
CBWD2,-2.09761880982094,0.0359388321333972,0.207520106945972
IL36G,-0.0978252872007529,0.9220710274036,0.970763366735628
