	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
ANXA3	2.523405993	0.069734479	0.680458889	0.591357897	1	1	-2.022647806	0.25865683	1	-2.052868506	0.240511993	1	-3.847175235	0.000716925	0.170024447	-2.496987955	0.075151927	1
ARSB	3.895443979	0.000588114	0.062408708	1.334158994	1	1	-2.846319187	0.026536703	0.519042239	-0.038506951	1	1	-2.877857982	0.024023121	0.820842161	-0.956375206	1	1
RAD18	1.038052346	1	1	2.391401355	0.100705162	1	1.180409706	1	1	-0.712426991	1	1	-1.46056579	0.864807842	1	-2.414318671	0.094588006	1
SLC12A7	-0.643245464	1	1	1.57272104	0.694700555	1	2.037286664	0.24972794	1	0.08690044	1	1	0.611696193	1	1	-1.151737488	1	1
SDHA	0.360100072	1	1	2.604750127	0.055164771	0.915457235	2.091168639	0.219077697	1	0.336415689	1	1	0.075615809	1	1	-1.402200215	0.965132806	1
PDCD6	-0.772223313	1	1	1.157510597	1	1	2.006371022	0.268900066	1	-0.091817242	1	1	0.443194763	1	1	-0.857616309	1	1
CEP72	-1.012759655	1	1	2.529323148	0.068569651	0.982986105	3.291449159	0.005980358	0.253965902	-1.221850281	1	1	-0.366750636	1	1	-3.059376364	0.013307899	0.813493937
XRN1	0.197049558	1	1	1.062555708	1	1	0.771421698	1	1	2.094779486	0.217143597	1	1.852396614	0.383813347	1	1.378286426	1	1
GRK7	-0.062768104	1	1	1.48563112	0.824260314	1	1.353908303	1	1	3.712933611	0.001229224	0.169218697	3.468920242	0.003135327	0.333688413	2.621461107	0.052532251	1
GRPEL1	-2.271667087	0.138639753	0.961567874	1.330034389	1	1	3.534740365	0.002449056	0.172742781	-0.40316681	1	1	1.344646171	1	1	-1.365277214	1	1
EVC	0.947581377	1	1	1.371383085	1	1	0.264980596	1	1	0.487934738	1	1	-0.271662663	1	1	-0.506126587	1	1
ZAP70	0.046092712	1	1	0.027238896	1	1	-0.021920448	1	1	-0.906095345	1	1	-0.911886529	1	1	-0.945637151	1	1
PPP2R3A	1.819611426	0.412909203	1	0.636052941	1	1	-1.303778112	1	1	1.329449688	1	1	-0.106417085	1	1	0.901902845	1	1
CEP70	0.609988809	1	1	1.261296119	1	1	0.537968056	1	1	0.271879445	1	1	-0.191798912	1	1	-0.617137223	1	1
ACAD11	3.891139801	0.000598647	0.063001363	2.72930836	0.038080396	0.788031993	-1.531990924	0.753148046	1	0.555896135	1	1	-2.36481448	0.108234629	1	-1.345202637	1	1
MRPL3	2.196772395	0.168220233	1	1.244538952	1	1	-1.123024142	1	1	1.332894682	1	1	-0.072691333	1	1	0.620952032	1	1
GALNT7	1.498755821	0.803621937	1	1.708465519	0.525299995	1	0.070004438	1	1	1.625061892	0.62489623	1	0.549249442	1	1	0.522066934	1	1
SOX30	-1.049690014	1	1	0.993456298	1	1	2.015808099	0.262920278	1	-0.577883474	1	1	0.272991457	1	1	-1.3446397	1	1
GCNT2	2.784228837	0.032193099	0.459581745	1.407504268	0.955667475	1	-1.582722893	0.680907828	1	0.906556006	1	1	-1.333721649	1	1	-0.1293017	1	1
FAM184B	0.031930516	1	1	-0.090850786	1	1	-0.117075551	1	1	0.17312117	1	1	0.140389934	1	1	0.245834448	1	1
DGKG	1.316376869	1	1	0.486213153	1	1	-0.879670761	1	1	0.063906453	1	1	-0.908013821	1	1	-0.282139393	1	1
DEPDC1B	0.264719011	1	1	1.527365036	0.760021593	1	1.235963423	1	1	0.205085744	1	1	-0.002205328	1	1	-0.94398959	1	1
ERCC8	0.673046102	1	1	0.284754449	1	1	-0.43997045	1	1	0.456323396	1	1	-0.042603478	1	1	0.274881715	1	1
MGLL	1.732545149	0.499059274	1	0.788028861	1	1	-1.055825395	1	1	1.747873593	0.48291551	1	0.403107035	1	1	1.222874579	1	1
MCM2	2.58415524	0.058570707	0.623395416	2.336109512	0.116913208	1	-0.354156514	1	1	0.49912189	1	1	-1.340591427	1	1	-1.116015922	1	1
GOLPH3	-0.934710382	1	1	-0.029143458	1	1	0.962629542	1	1	-0.929829292	1	1	-0.277545162	1	1	-0.936646711	1	1
CDH6	-2.257411004	0.143894429	0.978820327	-0.018136907	1	1	2.372986312	0.105869507	1	-1.826212999	0.406909105	1	-0.114252151	1	1	-1.872756252	0.36661231	1
NPR3	-0.860285468	1	1	-0.821795294	1	1	0.102626157	1	1	0.571912894	1	1	1.199016579	1	1	1.171998101	1	1
VCAN	3.100331291	0.011598258	0.271424247	0.968903882	1	1	-2.306057223	0.126644611	1	1.233056993	1	1	-1.204050205	1	1	0.55346607	1	1
RASGRF2	0.606029151	1	1	0.281088698	1	1	-0.370356645	1	1	0.960300834	1	1	0.503373306	1	1	0.794702126	1	1
MSH3	3.633871388	0.0016752	0.105823967	1.507911456	0.789463141	1	-2.342557671	0.114912443	1	0.332854077	1	1	-2.480331624	0.078756144	1	-0.775714708	1	1
STC2	1.537429444	0.745129084	1	1.245132541	1	1	-0.431625137	1	1	0.192723824	1	1	-0.900827575	1	1	-0.641538895	1	1
THOC3	-0.183256887	1	1	0.959225784	1	1	1.078812907	1	1	-0.687529964	1	1	-0.581789101	1	1	-1.143061566	1	1
DNAH5	2.561697096	0.062497272	0.645518257	0.440381921	1	1	-2.252617492	0.145699663	1	-1.350523669	1	1	-3.303920642	0.005720569	0.452818792	-1.714556351	0.518559584	1
WDR70	0.390608584	1	1	1.289997745	1	1	0.843242543	1	1	1.741040181	0.490059213	1	1.441544696	0.896585158	1	0.895551448	1	1
RAI14	0.008571699	1	1	0.133171477	1	1	0.114801557	1	1	-0.11861609	1	1	-0.120792492	1	1	-0.226323649	1	1
SLC1A3	-0.594493568	1	1	0.711967005	1	1	1.269549238	1	1	0.852074664	1	1	1.21142919	1	1	0.43542502	1	1
AMBP	1.628828967	0.620095384	1	-0.664837813	1	1	-2.319547684	0.122192153	1	0.927226388	1	1	-0.292516894	1	1	1.415462737	0.941597198	1
ARRDC3	0.61566082	1	1	-0.288302077	1	1	-0.864518456	1	1	0.039315481	1	1	-0.3551248	1	1	0.214479069	1	1
SLF1	0.666104459	1	1	2.008196559	0.267734451	1	1.22582778	1	1	2.106187858	0.211128224	1	1.582301508	0.68148454	1	0.775112443	1	1
CENPE	0.97838826	1	1	-0.435502567	1	1	-1.431582044	0.913580829	1	-0.729436079	1	1	-1.48613004	0.823468367	1	-0.417411735	1	1
ENPEP	2.398680867	0.098725489	0.806912951	2.617693992	0.053115692	0.896767583	-0.034388628	1	1	2.289643583	0.132251918	1	0.338686692	1	1	0.387044301	1	1
CASP6	1.672909172	0.566071067	1	2.729004443	0.038115509	0.788031993	0.821091985	1	1	-0.18523169	1	1	-1.408018946	0.95475276	1	-2.093751934	0.217692504	1
EGF	1.7995543	0.431586255	1	0.895489756	1	1	-1.066005738	1	1	1.475585708	0.840330865	1	-0.020706818	1	1	0.84631062	1	1
SEC24B	-1.184066623	1	1	-0.084470823	1	1	1.162743118	1	1	1.401120886	0.967067561	1	2.304644466	0.127118961	1	1.510725785	0.785149981	1
NME5	2.046935016	0.243986793	1	0.882946993	1	1	-1.289284307	1	1	1.702204146	0.532302635	1	0.127394678	1	1	1.113762263	1	1
PAIP2	-1.846761034	0.38869069	1	-1.281674709	1	1	1.052854227	1	1	-0.068398557	1	1	1.988269694	0.280691224	1	1.41329081	0.94542141	1
IPCEF1	-0.322399444	1	1	1.975150781	0.289506237	1	2.219662013	0.158650316	1	0.229002226	1	1	0.467391478	1	1	-1.196845523	1	1
