	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
PRKD3	0.619949123	1	1														
RMDN2	0.855933354	1	1														
SLC1A4	-0.636355304	1	1														
ORC2	2.262267373	0.142085334	0.974508992														
PLEK	0.249255511	1	1														
KISS1R	0.721648613	1	1														
GRIN3B	1.413932192	0.944290876	1														
VAX2	-4.120365584	0.000226963	0.037534378														
ATP6V1B1	0.965594488	1	1														
MSH6	2.529736498	0.06848893	0.671643814														
PLEKHA3	1.946486648	0.309577862	1														
SPR	0.572186844	1	1														
ENO1	-0.244237698	1	1														
CDC7	0.655956428	1	1														
CLCA1	2.528885438	0.068655222	0.67242699														
BCL9	-0.527539009	1	1														
ANGPTL1	0.683697487	1	1														
TMEM59	0.847863918	1	1														
OPRD1	0.42470731	1	1														
WDR77	1.861820532	0.375770349	1														
C1orf21	1.263615403	1	1														
MIIP	1.742256332	0.488781605	1														
PRDM2	0.035963292	1	1														
WARS2	1.031395976	1	1														
NT5C1A	-0.247992194	1	1														
P3H1	0.642219554	1	1														
SLC19A2	2.083342954	0.223319844	1														
VAMP4	0.13638632	1	1														
SLC5A9	2.0086377	0.267453421	1														
CTSD	-0.744439896	1	1														
A4GNT	1.539620773	0.741916914	1														
MMP8	1.338515581	1	1														
APOA1	-1.608004844	0.647004707	1														
SLC8A2	-1.088048037	1	1														
ATIC	0.257972432	1	1														
DOP1A	0.372789223	1	1														
FILIP1	2.853618378	0.025934652	0.407718349														
SGIP1	2.148643486	0.18997603	1														
TBPL1	0	1	1														
ZC2HC1B	-1.022413771	1	1														
FBXO30	0.468379414	1	1														
ADAT2	0.06023586	1	1														
TCF21	-1.156568744	1	1														
RNF103	0.117978804	1	1														
RPN2	2.13417359	0.196971442	1														
SOGA1	2.01810755	0.26148037	1														
PKD2	2.915434701	0.021311606	0.377360719														
STBD1	0.632130631	1	1														
CCNI	1.724982077	0.507184216	1														
RARRES1	1.392322582	0.982948418	1														
FGF23	0.971208641	1	1														
ELL2	-0.087607951	1	1														
GDA	1.095823857	1	1														
ECRG4	-0.528070701	1	1														
DDX55	0.568397304	1	1														
CCDC92	-0.638829517	1	1														
VPS4B	0.171760716	1	1														
SERPINB10	0.176579655	1	1														
ADCK1	0.930846952	1	1														
PGF	3.556463376	0.002255285	0.12066723														
NEK9	0.634233348	1	1														
IFT43	0.549838823	1	1														
FLVCR2	-0.475993782	1	1														
PAPOLG	-0.220581824	1	1														
RHOQ	-0.963891038	1	1														
TMEM214	1.197592214	1	1														
ATAD2B	1.354048111	1	1														
YIPF4	0.489329624	1	1														
AFTPH	0.527070106	1	1														
LGALSL	-2.488795138	0.07690608	0.713895643														
MFSD13A	0.388171675	1	1														
PPP1R3C	1.097777182	1	1														
PRLHR	-0.022198256	1	1														
HOXB8	-1.681532461	0.555957221	1														
HOXB5	-0.283269461	1	1														
HOXB1	1.117847274	1	1														
PANK3	0.167032433	1	1														
LRP11	0.742545927	1	1														
CCDC170	2.521612729	0.070090943	0.682368556														
ARAP3	1.410541568	0.950278988	1														
SLC25A2	1.088773213	1	1														
PRRX1	-1.021881781	1	1														
TNN	-0.532982354	1	1														
PDZD11	-1.519601557	0.771666878	1														
NUDCD1	1.792448032	0.43836736	1														
CCDC77	2.727977592	0.038234362	0.501449419														
CCDC169	-1.115145969	1	1														
UFM1	-1.179129633	0.715039682	1														
ELF1	0.1187556	1	1														
ALG5	0.589555165	1	1														
MYOT	1.626235046	0.623397981	1														
EGR1	0.660064307	1	1														
MTERF2	0.751495577	1	1														
NFYB	0.2579797	1	1														
SORBS3	2.247858306	0.147511359	0.992392807														
TARDBP	-0.185411272	1	1														
RDH10	0.238763919	1	1														
DLX4	2.708593503	0.040541442	0.521469414														
COIL	2.34109912	0.115362371	0.879459549														
TBX2	-0.658436393	1	1														
TBX4	0.929491612	1	1														
TEX14	1.030947236	1	1														
FAM117A	0.046631884	1	1														
NCAPH	0.859272864	1	1														
TSHZ3	-1.742508695	0.488516828	1														
PLBD1	2.160838061	0.184247105	1														
KLRK1	0.00802232	1	1														
TAS2R10	1.031533895	1	1														
PYROXD1	1.111657564	1	1														
TAS2R7	0.083964074	1	1														
MAPK8IP1	-1.267767319	1	1														
PEX16	2.187705508	0.172146364	1														
DEPDC7	1.939776665	0.314441026	1														
CAT	2.244898555	0.148647875	0.99444253														
GJA3	-1.23825312	1	1														
TNFSF10	0.56780083	1	1														
SLITRK3	-0.702808567	1	1														
CPXM2	-0.099414704	1	1														
ADORA3	2.040915768	0.247555202	1														
ACVR2A	-0.057837431	1	1														
POLK	2.136059082	0.19604759	1														
FLT3	-0.200223381	1	1														
RASL11A	1.374933514	1	1														
FYTTD1	-0.190719793	1	1														
AHR	2.587890577	0.05793939	0.620000166														
BBS9	2.329426489	0.119018899	0.896266504														
EEPD1	-0.594439745	1	1														
HOXA7	0.655417678	1	1														
MRM2	-1.318612304	1	1														
SLC25A51	-0.195395156	1	1														
CLTA	-0.37427443	1	1														
PHF24	0.901598001	1	1														
AKR1D1	-0.866407774	1	1														
NEUROG3	1.700688156	0.534009362	1														
SRGN	0.165697454	1	1														
FAM149B1	1.238588853	1	1														
UNG	0.443399174	1	1														
ACADS	0.825071068	1	1														
HVCN1	1.523702503	0.765498264	1														
BHLHE41	1.965332981	0.296254265	1														
SSPN	0.359679086	1	1														
DDX39A	0.861189839	1	1														
TRIR	-0.741167054	1	1														
KLHL24	-0.805647401	1	1														
CCDC70	-0.743496086	1	1														
EBPL	1.425075669	0.924811974	1														
ATP7B	0.933472539	1	1														
ZC3H13	1.389537192	0.988016757	1														
NEUROD4	0.617392513	1	1														
ORMDL2	-0.459933106	1	1														
PDE1B	-1.49830332	0.804326772	1														
LRP1	-2.179979612	0.175553837	1														
HOXC11	1.644363744	0.600606537	1														
HOXC6	-1.257369511	1	1														
FAAH	1.462062646	0.862344263	1														
RSRP1	-0.85176841	1	1														
RAB9B	-0.066798923	1	1														
NRK	2.399615524	0.098473801	0.805890347														
TTC21B	1.626266291	0.623358116	1														
NMI	1.158560506	1	1														
TNFAIP6	-1.765427654	0.464951515	1														
ACVR1C	0.985398807	1	1														
KCNJ2	-0.788200567	1	1														
EXOSC9	-0.157352758	1	1														
SNRPA	-2.672725765	0.045142637	0.550619101														
GPR83	-1.335390208	1	1														
HAUS3	-1.420519419	0.932739116	1														
CHPF	1.059521126	1	1														
INHA	0.463277656	1	1														
ENKD1	2.658113938	0.047147593	0.561625307														
ACTR5	1.737847467	0.493426166	1														
MC3R	-1.905171104	0.340546998	1														
SYS1	-1.087065563	1	1														
PLCG1	1.054996044	1	1														
SRSF6	-1.288023723	1	1														
RAB22A	1.425706289	0.923718843	1														
PTGIS	2.315881211	0.123388533	0.909600421														
MOCS3	0.784984502	1	1														
PEPD	0.664904378	1	1														
IL9R	2.320432721	0.121904883	0.906209448														
MCEE	0.907813478	1	1														
PAIP2B	-0.712984965	1	1														
MPHOSPH10	0.170784134	1	1														
IL17C	0.315788618	1	1														
LIPE	2.007077807	0.268448274	1														
IRGC	-1.724343414	0.507875198	1														
LYPD3	1.312980019	1	1														
RNF39	0.478206783	1	1														
FBXO9	1.616264595	0.636222708	1														
RRP36	3.081934203	0.012339617	0.282105365														
BTN1A1	0.874669028	1	1														
SLC17A1	0.15147183	1	1														
UNC5CL	1.070860358	1	1														
AARS2	0.345213947	1	1														
H1-1	-0.242658688	1	1														
APOBEC2	0.690154596	1	1														
TREM1	0.37967175	1	1														
COL21A1	2.455356707	0.084446911	0.746250497														
SOX4	0.654492696	1	1														
EREG	-0.908418101	1	1														
EMC3	-0.983611812	1	1														
SH3TC1	-0.606310491	1	1														
BBS2	2.21971978	0.158626772	1														
GOT2	2.984906338	0.01701991	0.337299125														
PIWIL1	-1.283015214	1	1														
SLC10A2	2.684554543	0.043575919	0.540242398														
IRF1	1.34354754	1	1														
PTGER2	-0.207502788	1	1														
MYH2	-2.816822325	0.029100809	0.43545206														
ARMC7	0.724910854	1	1														
NUP85	0.083729626	1	1														
NT5C	0.192593215	1	1														
MSTO1	0.611481683	1	1														
MBOAT7	-0.950526833	1	1														
ZBTB46	-2.56105224	0.062613398	0.646125615														
SLC35F5	1.503169807	0.796771567	1														
PSD4	0.765595104	1	1														
PSPN	0.805380832	1	1														
ALKBH7	-0.920411165	1	1														
CLPP	1.818481956	0.413943013	1														
THOC2	-1.35013226	1	1														
CD70	0.9019752	1	1														
C3	-1.245347709	1	1														
SH2D3A	0.47154138	1	1														
RTN2	1.277100574	1	1														
VASP	2.467830697	0.081560757	0.731404706														
SYMPK	-2.362861295	0.108806733	0.853693736														
CFAP61	3.202599276	0.008171601	0.23227046														
CDC25B	-0.034145745	1	1														
CD93	0.9415849	1	1														
CST8	3.231146521	0.007397683	0.220266128														
TMX4	1.47268993	0.845007979	1														
DSTN	-0.542892661	1	1														
LAMP5	2.518831904	0.070646912	0.685162056														
OTOR	-0.395089938	1	1														
DEFB129	1.402746853	0.964154042	1														
TLE6	3.840465284	0.000736808	0.067542721														
S1PR4	2.410677977	0.095537402	0.793756265														
PITHD1	-1.753892506	0.476693568	1														
ARMCX5	2.107096499	0.210655294	1														
NECAB3	1.004769575	1	1														
RALY	2.3778714	0.104477385	0.832653356														
UROD	0.681605934	1	1														
LRFN3	-1.057537267	1	1														
IGFLR1	0.590872738	1	1														
PDCD2L	0.562456874	1	1														
FFAR1	2.032178609	0.252813466	1														
KRT13	-1.8623496	0.37532297	1														
CCR7	-0.011847077	1	1														
NR1D1	-1.005115836	1	1														
ARL2	0.561990884	1	1														
PRRG2	3.501242958	0.002778561	0.134836257														
TSKS	-1.715952502	0.517024418	1														
NOP53	1.431139087	0.914342142	1														
FLRT1	-1.77800235	0.452420813	1														
MLX	-1.264691651	1	1														
WNK4	2.500229827	0.074467656	0.703987478														
TRAP1	-0.013335778	1	1														
SUGP1	0.792965258	1	1														
DDX49	1.369694659	1	1														
GDF1	1.068524992	1	1														
NSRP1	1.455974695	0.872397691	1														
ATG14	1.15996748	1	1														
DLGAP5	2.135739829	0.196203756	1														
L3HYPDH	1.934108639	0.318598632	1														
TBPL2	2.0206946	0.259868335	1														
SGPP1	2.413955328	0.094682382	0.789577897														
PLEKHG3	1.795899069	0.435063423	1														
EVI2A	3.043740616	0.01401939	0.306294621														
OMG	-0.300927555	1	1														
AIF1L	0.192004862	1	1														
CANX	-1.231268353	1	1														
PYCARD	-0.767641976	1	1														
TRAF2	-3.196988856	0.008332217	0.235352675														
ABHD8	1.377016009	1	1														
HELB	1.352472136	1	1														
TAS2R3	-1.715589798	0.517422882	1														
TAS2R4	0.322821233	1	1														
ZNF777	1.763639288	0.466756372	1														
IDUA	2.100478034	0.214120865	1														
ZNF317	1.287250947	1	1														
PIN1	-0.978643243	1	1														
KIF17	1.021001774	1	1														
F2RL3	0.788008531	1	1														
JPT2	-1.00159152	1	1														
GFER	0.635454982	1	1														
WDR24	-0.061188588	1	1														
MON1B	0.708132822	1	1														
METTL25	1.365970786	1	1														
EIF3K	0.243367873	1	1														
EMC6	-0.870030546	1	1														
CACTIN	2.168486134	0.180730311	1														
TUBA4A	-1.51775719	0.774453725	1														
VIL1	-0.064316812	1	1														
FGL2	1.183005015	1	1														
STYXL1	2.407469298	0.096381077	0.798980076														
PEX1	2.067307217	0.232231288	1														
LRFN1	0.408752835	1	1														
TUBGCP6	0.823068423	1	1														
CYTH4	2.479982871	0.078833217	0.723243646														
SGSM3	0.81037604	1	1														
SEZ6L	1.830211544	0.403309874	1														
VPREB3	2.062977426	0.234688638	1														
SDF2L1	-1.102865828	1	1														
YWHAH	-0.804110013	1	1														
MCHR1	-1.693866151	0.541744322	1														
GALR3	1.423308168	0.927881041	1														
CCDC117	0.685769463	1	1														
RAC2	-0.453669552	1	1														
PMPCB	0.683233495	1	1														
VGF	-0.235208657	1	1														
STRIP2	2.559023243	0.062980034	0.647570006														
SMO	1.574844174	0.691754503	1														
OPN1SW	0.684353291	1	1														
SIRT2	1.348345576	1	1														
HOXD9	-0.469115147	1	1														
HOXD10	-0.449781217	1	1														
DLL4	0.420635037	1	1														
KNSTRN	2.254642101	0.144934815	0.982747571														
CLN6	1.633852153	0.613739391	1														
ISLR	-1.492618833	0.813221944	1														
ACKR4	0.820633618	1	1														
MBD4	3.481835558	0.002987936	0.13979978														
MYOD1	1.694983064	0.540471801	1														
TPH1	0.918357346	1	1														
SOX15	2.488379702	0.076995986	0.714105524														
MPDU1	2.184617011	0.173501638	1														
CCN4	0.48756605	1	1														
QTRT1	2.541612536	0.066205451	0.661223698														
CLEC11A	0.653631702	1	1														
PARP2	2.496863634	0.075178278	0.706509367														
FOXA1	0.357647923	1	1														
EAPP	0.318342129	1	1														
EGLN3	1.072286826	1	1														
DAD1	1.505892076	0.396284643	1														
AANAT	-0.609796469	1	1														
ARHGEF6	1.88879818	0.35351326	1														
ART1	0.320309406	1	1														
CHRNA10	0.905842844	1	1														
DAZL	-1.690460312	0.54563955	1														
INS	-0.236649794	1	1														
SALL1	-0.417821461	1	1														
ZC3H14	-0.359911634	1	1														
LMAN1	1.360167264	1	1														
ANGEL1	-0.146976007	1	1														
CDADC1	2.319205498	0.122303379	0.907582302														
VPS35L	-0.645487657	1	1														
CORO7	0.622609806	1	1														
SEC14L5	-1.639535746	0.606610395	1														
CLSPN	3.147829174	0.009869267	0.25464902														
PBX4	-0.008550718	1	1														
IGSF21	-0.137914387	1	1														
SLX1A	1.990036333	0.2795216	1														
TUBG2	1.27942431	1	1														
TUBG1	0.234119692	1	1														
MAST1	0.238244092	1	1														
NCAPG	1.145893045	1	1														
RABGAP1L	0.223634948	1	1														
ADAMTS2	-0.537715606	1	1														
CIAO3	0.03008012	1	1														
TRNT1	-1.399171956	0.970568544	1														
