"","names.phenotypeVector.","names.commonPhenotypeVector.","phenotypeVector"
"vs_HLrhiSin1","vs_HLrhiSin1","Horseshoe Bats","0"
"vs_HLrhiRox2","vs_HLrhiRox2","Golden Snub-nosed Langur ","0"
"vs_HLsaiBol1","vs_HLsaiBol1","Squirrel monkey","0"
"vs_HLsarHar2","vs_HLsarHar2","Tasmanian devil","0"
"vs_HLscaAqu1","vs_HLscaAqu1","Eastern American Mole","0"
"vs_HLsigHis1","vs_HLsigHis1","Cotton Rat","0"
"vs_HLsolPar1","vs_HLsolPar1","Solenodons","0"
"vs_sorAra2","vs_sorAra2","Shrew","0"
"vs_HLspeDau1","vs_HLspeDau1","Mongolian Ground Squirrel ","0"
"vs_HLspiGra1","vs_HLspiGra1","Spotted Skunk","0"
"vs_HLsurSur1","vs_HLsurSur1","Slender-tailed Meerkat","0"
"vs_susScr11","vs_susScr11","Pig","0"
"vs_HLtapInd1","vs_HLtapInd1","Malayan Tapir","0"
"vs_HLthrSwi1","vs_HLthrSwi1","Cane rat","0"
"vs_HLtonSau1","vs_HLtonSau1","Round-eared Bats","0"
"vs_HLuroGra1","vs_HLuroGra1","Asiatic Shrew Mole (Sichuan and Yunnan)","0"
"vs_ursMar1","vs_ursMar1","Polar Bear","0"
"vs_HLxerIna1","vs_HLxerIna1","African Ground Squirrel","0"
"vs_HLzalCal1","vs_HLzalCal1","California Sea Lion","0"
"vs_HLzapHud1","vs_HLzapHud1","Jumping Mouse","0"
"vs_HLacoRus1","vs_HLacoRus1","Golden spiny mouse","0"
"vs_HLaepMel1","vs_HLaepMel1","Impala","1"
"vs_HLallNig1","vs_HLallNig1","Allen's swamp monkey","0"
"vs_HLantFla1","vs_HLantFla1","Yellow-footed antechinus","0"
"vs_HLarcGaz2","vs_HLarcGaz2","Antarctic fur seal","0"
"vs_HLarvNil1","vs_HLarvNil1","African grass rat","0"
"vs_HLarvAmp1","vs_HLarvAmp1","European water vole","0"
"vs_HLbalEde1","vs_HLbalEde1","Bryde's whale","0"
"vs_HLcalUrs1","vs_HLcalUrs1","Northern fur seal","0"
"vs_HLchoDid1","vs_HLchoDid1","Linnaeus's two-toed sloth","0"
"vs_HLchoHof3","vs_HLchoHof3","Hoffmann's two-toed sloth","0"
"vs_HLcoePre1","vs_HLcoePre1","Brazilian porcupine","0"
"vs_HLcynGun1","vs_HLcynGun1","Gunnison's prairie dog","0"
"vs_HLcynBra1","vs_HLcynBra1","Lesser short-nosed fruit bat","0"
"vs_HLdidVir1","vs_HLdidVir1","Virginia opossum","0"
"vs_HLdugDug1","vs_HLdugDug1","Dugong","0"
"vs_HLeonSpe1","vs_HLeonSpe1","Cave nectar bat","0"
"vs_HLeriBar1","vs_HLeriBar1","Bearded seal","0"
"vs_HLeubGla1","vs_HLeubGla1","North Atlantic right whale","0"
"vs_eulMac1","vs_eulMac1","Black lemur","0"
"vs_HLeulMon1","vs_HLeulMon1","Mongoose lemur","0"
"vs_HLgirCam1","vs_HLgirCam1","Giraffe","0"
"vs_HLgloMel1","vs_HLgloMel1","Long-finned pilot whale","0"
"vs_HLgraAgi1","vs_HLgraAgi1","Agile gracile opossum","0"
"vs_HLgulGul1","vs_HLgulGul1","Wolverine","0"
"vs_HLgymLea1","vs_HLgymLea1","Leadbeater's possum","0"
"vs_HLhipAmp1","vs_HLhipAmp1","Hippopotamus","0"
"vs_HLhydIne1","vs_HLhydIne1","Water deer","0"
"vs_HLhylMol2","vs_HLhylMol2","Silvery gibbon","0"
"vs_HLkobLecLec1","vs_HLkobLecLec1","Red Lechwe","1"
"vs_HLlepYer1","vs_HLlepYer1","Lesser long-nosed bat","0"
"vs_HLlepTim1","vs_HLlepTim1","Mountain hare","0"
"vs_HLlonCan1","vs_HLlonCan1","North American river otter","0"
"vs_HLmacGig1","vs_HLmacGig1","Eastern grey kangaroo","0"
"vs_HLmacCal1","vs_HLmacCal1","California leaf-nosed bat","0"
"vs_HLmadKir1","vs_HLmadKir1","Kirk's dik-dik","1"
"vs_HLmanSph1","vs_HLmanSph1","Mandrill","0"
"vs_HLmanTri1","vs_HLmanTri1","Tree pangolin Old Listing Under Previous Genus","0"
"vs_HLmarFla1","vs_HLmarFla1","Yellow-bellied marmot","0"
"vs_HLmasCou1","vs_HLmasCou1","Southern multimammate mouse","0"
"vs_HLmegNov1","vs_HLmegNov1","Humpback whale","0"
"vs_HLmicTal1","vs_HLmicTal1","Talazac's shrew tenrec","0"
"vs_HLmicAgr2","vs_HLmicAgr2","Short-tailed field vole","0"
"vs_HLmolMol2","vs_HLmolMol2","Velvety free-tailed bat","0"
"vs_HLmosBer1","vs_HLmosBer1","Dwarf musk deer","0"
"vs_HLmunMun1","vs_HLmunMun1","Southern red muntjac","0"
"vs_HLmurAurFea1","vs_HLmurAurFea1","Tube-nosed Insectivorous Bats","0"
"vs_HLmusSpi1","vs_HLmusSpi1","Steppe mouse","0"
"vs_HLmyoGla2","vs_HLmyoGla2","Bank vole","0"
"vs_HLmyoSep1","vs_HLmyoSep1","Myotis septentrionalis","0"
"vs_HLmyrTri1","vs_HLmyrTri1","Giant anteater","0"
