"","Rho","N","P","p.adj","permPValue","qValueNoperm","qValuePerm"
"PRICKLE3",-0.0803435335180144,66,0.431055818951591,1,0.319937713768929,1,0.999998240152332
"LTF",-0.225495337187978,62,0.0323707341288944,1,0.191893395755785,1,0.999998240152332
"EXTL3",-0.0401286176952564,24,0.817361331385177,1,0.258806717690517,1,0.999998240152332
"NR1H4",-0.0751651123959927,62,0.475680252090622,1,0,1,0
"ELOVL5",-0.0519907010220176,68,0.604866823183545,1,0.400556689328712,1,0.999998240152332
"KDM5D",-0.0377425678048199,13,0.877370556064143,1,0.99993954050786,1,0.999998240152332
"CALCOCO1",-0.0223843900923096,60,0.834567917009483,1,0.99993954050786,1,0.999998240152332
"MAP4K5",-0.0432135815701443,18,0.831796781836505,1,0.999991420065036,1,0.999998240152332
"EHD3",-0.00634032939292898,68,0.949687406089985,1,0.999997786048118,1,0.999998240152332
"MAN2B2",-0.353553390593274,16,0.103741678236542,1,0.825998879740348,1,0.999998240152332
"SLC7A14",-0.0771962313404688,23,0.664200161966432,1,0.999992338573749,1,0.999998240152332
"CLDN11",-0.0456886227533989,62,0.664611629541006,1,0.99993954050786,1,0.999998240152332
"SLC25A39",-0.0056437758429308,65,0.956236483597006,1,0.999997625656209,1,0.999998240152332
"MVP",-0.149631773673124,68,0.136449390457656,1,0.141903544371134,1,0.881985106552892
"NUB1",NA,NA,NA,NA,NA,NA,NA
"PGM3",-0.0267811778393381,66,0.792965225289231,1,0.859224132778099,1,0.999998240152332
"RWDD2A",-0.0608305305878326,67,0.547980370861382,1,0.624209168454379,1,0.999998240152332
"CLK1",0.102011079821068,66,0.317439524511552,1,0.932445686225456,1,0.999998240152332
"POLR3B",-0.0589430998604927,64,0.569649549161686,1,0.999991420065036,1,0.999998240152332
"ANGEL1",0.0308734454210739,69,0.756886973796693,1,0.999998187394416,1,0.999998240152332
"RNF14",-0.0254734543262583,54,0.821937183174016,1,0.99993954050786,1,0.999998240152332
"DNASE1L1",NA,NA,NA,NA,NA,NA,NA
"DDX11",NA,NA,NA,NA,NA,NA,NA
"HEBP1",0.14109439607327,65,0.17008706036304,1,0.851542164831101,1,0.999998240152332
"GPRC5A",0.0840082558882581,36,0.548229256143338,1,0.999991420065036,1,0.999998240152332
"MAMLD1",-0.252107518845038,28,0.114911160859891,1,0,1,0
